IDX_STUDENT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
STUDENT_1093,-0.14246002,0.29469246,-0.20553626,-0.55242753,0.15639976,-0.009050516,1.41134,0.081326455,-0.64584374,0.27989766,0.05534356,-0.28685403,-0.22942199,-0.17152247,-0.4149502,0.20971373,-0.11758846,0.07588382,-0.101080045,-0.042016525
STUDENT_628,-0.25081092,0.1411089,0.56115067,-0.50014824,0.4538559,-0.23088664,0.31911108,-1.0474061,-0.94399315,-0.021469772,1.808928,1.0565667,-0.56639534,-0.35192603,-1.5495621,0.82266706,0.13297486,0.21791524,-0.9900166,-0.5763077
STUDENT_1267,0.49094078,-0.51516604,0.01685486,1.2394099,0.020190652,0.18240479,0.96870446,-0.7611508,-1.1576889,-0.044098556,0.4028515,-0.5693416,-0.40115702,-0.5543014,-1.4548159,1.5531709,0.4552678,-0.5735264,-0.0384256,-0.78212494
STUDENT_288,-0.89915925,-5.328165,0.2603032,0.30235043,-1.0078043,-4.1560307,-2.116139,1.535576,-1.1932569,2.089784,1.035518,-2.3065257,1.1955935,-0.8105652,-1.0881801,0.45911467,-1.2184811,0.52553284,-1.1724746,1.4191862
STUDENT_437,0.24257971,-0.2736171,0.89878887,-0.51654994,0.71476763,-0.66141003,0.07391093,0.0990503,-0.5291555,0.5502283,0.31780523,-0.62250537,0.017547177,-0.008550328,-1.3414676,1.1345218,-0.0081771,1.3078882,0.4044849,-0.67580956
STUDENT_806,-0.19607984,0.18946104,1.0846568,-0.41209105,0.005700577,-0.22040698,0.40952992,-0.6090938,0.24461378,0.111691445,0.03153362,0.351335,-0.29320878,-0.88021463,0.045629457,0.77320635,-0.10347797,-0.09699594,0.9022245,-0.4762908
STUDENT_553,1.3407146,-1.3254752,-1.6468061,0.39086953,-0.23749718,-1.6330143,-0.80568403,0.47843593,-0.57320327,1.5750608,-1.1407968,-3.3924582,1.2682799,-0.4103477,0.02630111,1.3093808,0.48167124,-2.3191805,1.4686177,0.49811438
STUDENT_1063,0.11378722,-0.43177357,-0.20494628,-1.1745687,1.0979842,0.44632068,0.3184128,-0.27928898,-0.38545656,0.68472224,0.09773349,-0.28908867,0.59839535,0.66709733,0.09913583,-0.23011473,-0.61364764,0.15581454,-0.45408493,-0.7516749
STUDENT_1740,-0.6953458,-0.78560114,0.8421226,-1.1162076,0.29222336,-0.15735522,0.39412212,0.35959855,0.33568415,0.7782809,-0.5702225,-0.54848707,0.5965871,0.05125304,0.24120438,0.20103827,-0.80952233,0.45520514,0.12699917,-0.267218
STUDENT_1638,0.2504142,-0.6306153,0.48336178,0.45923993,0.30385962,0.17960656,-0.23656681,-1.011981,0.9531544,-0.09047173,-0.62321705,0.3845216,0.74594074,1.2810838,-0.8746278,1.0001552,0.08652297,-0.160262,-0.84762007,-0.36002973
STUDENT_1252,-0.3472784,-0.021836149,0.27637488,-0.18688798,-0.10539439,-0.14317735,0.8185179,-0.28738284,-0.6176684,0.5011876,-0.088857286,-0.15346277,-0.0005223132,-0.25713122,-0.9878199,0.119288824,0.4023885,-0.01984217,-0.58271533,0.060526047
STUDENT_1389,-0.10343464,-0.5223539,1.2786138,-0.24705683,-0.53981656,-2.0822625,0.491949,0.70283276,0.7616175,0.8045742,-0.36781272,0.7496652,-0.39739853,0.05324446,-0.93631315,-1.985575,-0.32526317,-1.0061939,-0.15968612,-0.6658726
STUDENT_778,-0.09034543,0.5126432,0.22889538,-0.32280764,-0.07157093,0.17723252,1.286861,0.3309261,-0.4675994,0.03769657,0.4957611,-0.87614846,-0.7669621,0.051316593,-0.8124193,0.4738317,0.09941444,0.25010538,0.0036628218,-0.35179958
STUDENT_206,-0.43779057,0.7428534,-0.3722096,-1.8700018,0.035265114,-0.45321274,-1.5266566,-0.7651816,0.7921471,-0.6058829,0.048033632,0.9452961,-0.038585406,0.47907704,0.40305007,0.65004927,-1.0388258,-1.1193132,0.22340985,-0.4829568
STUDENT_851,-0.8232638,-0.5557369,0.81003577,-0.59267986,0.2043462,-0.67098045,0.0761286,-0.68185204,0.07557736,-0.77648145,0.27933693,1.1672301,0.5312818,-0.504884,-0.33359867,-0.3943425,-0.110661335,-0.11209308,-0.99009204,0.4634281
STUDENT_1370,-0.828307,-0.86069286,-0.4164229,-0.106260546,-0.6754752,-1.0390614,-0.17536935,0.70882696,0.28326687,0.107242614,-0.6574069,0.13278563,0.12213826,-0.31482226,0.71400535,0.58604354,-0.6811047,0.25668004,0.28677687,0.34267282
STUDENT_1358,-0.30105492,-1.2794342,0.6818688,-0.4096811,0.44983327,-0.2342878,0.1172253,-0.42779952,-0.3483539,1.0195806,-0.12987018,-0.16143659,0.8236671,-0.009394628,-0.7765764,-0.108684696,0.07452461,0.39866206,-0.76647395,-0.43916872
STUDENT_1665,0.35003996,-0.38104254,0.38819617,-0.6280878,0.39805415,-0.4475825,-0.23313913,0.18813318,0.08721321,0.66413945,0.45777625,-0.42364442,0.03856309,0.3785015,0.27786273,0.834282,-0.98365307,0.9487938,0.53962326,-0.28955826
STUDENT_84,0.3901812,0.6925593,1.0267779,-1.0889086,0.31581354,0.06729563,0.018558394,-0.6673144,0.28146222,-0.5713912,0.9009423,0.085707694,-0.360141,-0.3497238,0.24815696,0.22495995,0.05003336,-0.34692356,0.61945504,-0.18662496
STUDENT_1603,-0.6663622,-0.33770424,0.54687953,0.0334677,-1.0541507,-1.1183196,-0.42652783,0.13284898,0.7954729,0.95303553,-1.2081178,-0.25695783,0.18274386,-0.8092241,0.19517948,1.3016354,0.24155515,-0.17336614,1.1423867,-0.118033506
