IDX_STUDENT,Reconstruction error
STUDENT_1093,16.178741
STUDENT_628,8.743888
STUDENT_1267,7.4473705
STUDENT_288,173.9542
STUDENT_437,8.929655
STUDENT_806,8.108864
STUDENT_553,6.188107
STUDENT_1063,15.053132
STUDENT_1740,7.808408
STUDENT_1638,17.880354
STUDENT_1252,5.4298725
STUDENT_1389,3.5412965
STUDENT_778,24.119137
STUDENT_206,8.882328
STUDENT_851,4.9408455
STUDENT_1370,1.9642209
STUDENT_1358,3.6617317
STUDENT_1665,2.13883
STUDENT_84,10.505924
STUDENT_1603,15.404846
STUDENT_1736,30.005774
STUDENT_1345,3.5468836
STUDENT_421,3.0115051
STUDENT_1686,3.5334375
STUDENT_630,4.2385283
STUDENT_1266,19.042812
STUDENT_988,30.590117
STUDENT_485,33.470036
STUDENT_559,17.78968
STUDENT_918,15.394296
STUDENT_707,5.635907
STUDENT_132,7.709423
STUDENT_373,8.629686
STUDENT_1634,13.426665
STUDENT_417,2.5064342
STUDENT_1326,4.074538
STUDENT_969,5.1644616
STUDENT_741,9.721554
STUDENT_41,26.207645
STUDENT_443,15.055581
STUDENT_439,6.4220853
STUDENT_1734,4.41703
STUDENT_518,9.322628
STUDENT_78,15.768443
STUDENT_436,8.877993
STUDENT_1163,6.073002
STUDENT_1418,6.5210533
STUDENT_1533,10.71284
STUDENT_1169,15.100177
STUDENT_1580,15.293113
STUDENT_1813,11.366015
STUDENT_577,7.4737225
STUDENT_702,16.269411
STUDENT_1722,54.015884
STUDENT_316,6.5412316
STUDENT_1452,5.142083
STUDENT_579,28.967249
STUDENT_374,13.0676565
STUDENT_1354,2.9920504
STUDENT_404,17.357342
STUDENT_891,26.818521
STUDENT_1311,2.3565488
STUDENT_1280,7.290211
STUDENT_33,9.137827
STUDENT_1168,16.255548
STUDENT_833,4.7853956
STUDENT_1372,2.238897
STUDENT_1621,6.6961946
STUDENT_1887,11.191784
STUDENT_1393,3.3488853
STUDENT_230,11.008122
STUDENT_608,17.033922
STUDENT_661,22.584467
STUDENT_265,11.162721
STUDENT_438,19.194002
STUDENT_1941,20.519007
STUDENT_650,15.02562
STUDENT_461,9.001109
STUDENT_639,17.157293
STUDENT_889,9.61474
STUDENT_355,22.578869
STUDENT_1893,19.0036
STUDENT_1581,24.245203
STUDENT_354,4.9814086
STUDENT_1647,8.539417
STUDENT_1226,13.123824
STUDENT_1848,4.7289877
STUDENT_1245,7.955304
STUDENT_799,4.4301667
STUDENT_857,4.269222
STUDENT_1296,28.275806
STUDENT_1889,16.526218
STUDENT_128,3.415442
STUDENT_126,23.44898
STUDENT_152,3.092281
STUDENT_664,18.906128
STUDENT_347,5.704225
STUDENT_580,7.9750876
STUDENT_824,14.611876
STUDENT_1215,13.441931
STUDENT_761,4.2471137
STUDENT_1894,4.731003
STUDENT_849,32.84785
STUDENT_676,16.022371
STUDENT_1495,2.2383835
STUDENT_1641,6.5314693
STUDENT_1836,8.649906
STUDENT_487,9.184226
STUDENT_558,4.7348337
STUDENT_502,3.5539966
STUDENT_854,21.027538
STUDENT_614,15.344671
STUDENT_1305,23.358587
STUDENT_1875,10.736824
STUDENT_599,4.0223403
STUDENT_1544,9.09839
STUDENT_272,4.8861628
STUDENT_1885,11.447908
STUDENT_1771,15.561906
STUDENT_1661,13.89893
STUDENT_1064,9.338393
STUDENT_1340,3.4394557
STUDENT_434,12.170374
STUDENT_843,14.578144
STUDENT_713,5.9125724
STUDENT_1918,4.6637654
STUDENT_1484,15.847412
STUDENT_1531,12.222009
STUDENT_62,22.674345
STUDENT_1825,26.040258
STUDENT_1908,11.930795
STUDENT_715,31.12487
STUDENT_839,10.018665
STUDENT_293,10.149162
STUDENT_255,5.689509
STUDENT_445,13.07605
STUDENT_1917,77.83323
STUDENT_1870,9.915183
STUDENT_94,6.3224792
STUDENT_1927,19.99204
STUDENT_406,4.3343234
STUDENT_87,3.2467892
STUDENT_83,6.6654854
STUDENT_506,5.325684
STUDENT_567,13.382195
STUDENT_1104,6.717502
STUDENT_1831,3.877183
STUDENT_586,7.470099
STUDENT_450,9.683911
STUDENT_1684,6.258083
STUDENT_221,9.661438
STUDENT_1627,10.893929
STUDENT_397,7.546108
STUDENT_92,3.6119232
STUDENT_1655,2.958995
STUDENT_1928,4.2256293
STUDENT_269,7.165793
STUDENT_1344,5.9004517
STUDENT_1693,6.755154
STUDENT_777,18.615637
STUDENT_1493,6.955816
STUDENT_1088,14.60754
