IDX_STUDENT,COD_PROGRAMA,JORNADA,DURACION,PERIODO_INGRESO,SEXO,ESTADO_CIVIL,ESTRATO,RANGO_EDAD,CONDICION_EXCEPCION,TIPO_COLEGIO,RANGO_INGRESOS,RANGO_GASTOS,TIPO_VIVIENDA,PUNTAJE_ICFES,PCN,PLC,PMA,PSC,PIN,GRADUADO_A_TIEMPO
STUDENT_1819,2710,2,7,3,1,1,1,4,1,2,2,2,1,271,56,48,66,51,50,0
STUDENT_1607,2711,1,6,1,0,1,2,2,1,1,2,2,1,228,40,49,48,48,42,0
STUDENT_738,2131,1,6,13,1,1,2,3,1,1,2,2,2,251,55,52,38,57,49,0
STUDENT_834,2710,1,6,10,1,1,2,2,1,1,2,2,1,208,46,46,41,49,26,0
STUDENT_1719,2710,1,6,6,1,2,2,3,1,1,2,2,2,254,49,49,48,56,52,0
STUDENT_114,2131,1,6,4,1,1,2,2,1,1,2,2,2,254,53,42,48,53,58,0
STUDENT_1038,2710,2,7,14,1,1,1,2,1,2,4,4,4,293,58,60,60,60,55,0
STUDENT_48,2131,1,6,9,0,2,2,3,1,1,4,4,2,257,55,54,52,54,42,0
STUDENT_235,2131,1,6,4,1,1,3,5,1,1,2,2,1,223,47,47,53,38,37,0
STUDENT_359,2131,1,6,3,1,1,2,2,1,1,2,2,2,253,56,57,48,43,49,0
STUDENT_684,2710,1,6,13,1,1,1,2,1,1,2,2,1,211,37,45,47,41,41,0
STUDENT_1892,2710,2,7,1,1,1,3,6,1,2,3,3,1,253,52,45,51,55,50,0
STUDENT_1426,2711,2,7,5,1,1,2,2,1,1,3,3,2,249,50,44,59,53,43,0
STUDENT_1940,2710,2,7,1,1,1,1,2,1,1,2,2,1,197,44,43,40,38,31,0
STUDENT_1454,2711,2,7,5,1,1,2,3,1,2,2,2,1,267,54,49,50,60,55,0
STUDENT_351,2131,1,6,2,0,1,3,2,1,2,3,3,2,256,45,51,52,57,51,0
STUDENT_1692,2710,1,6,8,1,1,2,4,1,1,1,1,1,205,46,44,45,41,29,0
STUDENT_1454,2711,2,7,5,1,1,2,3,1,2,2,2,1,267,54,49,50,60,55,0
STUDENT_1676,2710,1,6,8,1,1,3,2,1,2,2,2,1,234,46,46,46,46,50,0
STUDENT_1716,2710,1,6,6,0,1,1,2,1,2,3,3,1,220,47,45,43,38,47,0
STUDENT_1179,2711,2,7,11,1,1,1,2,1,1,2,2,2,286,57,55,67,58,49,0
STUDENT_1751,2710,2,7,5,1,1,3,5,1,2,2,2,1,243,49,55,47,48,45,0
STUDENT_20,2711,2,7,12,1,2,1,7,1,2,3,3,1,265,54,49,53,59,50,0
STUDENT_1310,2131,1,6,10,0,1,2,4,1,2,2,2,5,244,48,47,50,50,49,0
STUDENT_652,2131,1,6,15,0,1,2,2,1,1,2,2,2,282,59,62,49,63,49,0
STUDENT_1098,2722,1,6,15,1,1,2,2,1,1,2,2,1,272,51,59,55,55,52,0
STUDENT_27,2131,1,6,3,1,1,2,2,1,1,2,2,5,257,52,56,53,51,45,0
STUDENT_1377,2711,1,6,6,1,1,3,3,1,1,2,2,2,269,55,55,60,51,48,0
STUDENT_863,2710,2,7,12,1,1,2,5,1,2,2,2,1,268,65,53,52,57,41,0
STUDENT_1297,2839,2,6,14,0,2,2,7,1,2,4,4,2,210,49,43,39,45,34,0
STUDENT_1576,2711,1,6,1,1,1,3,2,1,1,2,2,1,230,46,47,46,50,42,0
STUDENT_1373,2711,1,6,6,0,1,2,2,5,1,2,2,1,232,49,45,49,50,39,0
STUDENT_887,2131,1,6,7,0,1,2,3,1,1,2,2,3,255,47,46,61,48,53,0
STUDENT_1377,2711,1,6,6,1,1,3,3,1,1,2,2,2,269,55,55,60,51,48,0
STUDENT_253,2131,1,6,1,0,1,1,4,1,1,2,2,1,255,52,47,47,57,52,0
STUDENT_668,2721,2,7,13,0,1,2,2,1,2,7,7,1,322,67,63,74,65,53,0
STUDENT_1623,2710,2,7,7,1,1,2,2,1,1,2,2,1,235,52,47,55,40,42,0
STUDENT_344,2131,1,6,7,0,1,2,2,1,2,2,2,3,272,55,53,49,52,63,0
STUDENT_541,2710,1,6,11,1,1,2,2,1,1,2,2,1,277,53,62,53,53,56,0
STUDENT_974,2839,2,6,15,1,1,1,3,1,1,3,3,1,211,48,51,36,42,34,0
STUDENT_490,2710,2,7,9,1,2,2,5,1,1,2,2,2,243,51,45,36,52,59,0
STUDENT_174,2131,1,6,4,1,1,2,2,1,2,3,3,1,246,46,50,52,55,41,0
STUDENT_488,2711,1,6,10,0,1,2,3,1,1,2,2,1,266,51,47,64,61,43,0
STUDENT_1427,2711,2,7,5,1,1,2,2,1,1,5,5,1,262,52,54,59,46,52,0
