IDX_STUDENT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
STUDENT_1093,0.2400292,0.21231519,0.2564718,-0.094977945,-0.0621368,0.43316665,0.10073309,-0.18812153,-0.2670143,0.29645115,0.5376241,0.526704,-0.25189912,-0.2927725,-1.3631647,-0.015908066,0.41732225,0.5933091,-0.20410702,0.5198729
STUDENT_628,0.13729098,1.1440465,1.0320704,-0.966921,0.6671419,0.9560001,0.25674158,-0.26245102,0.31195557,-0.5468999,0.32331377,-0.47334164,0.11256916,-0.2189661,-0.053507823,1.2609711,-0.15389659,1.6134826,0.17838255,1.0177776
STUDENT_1267,-0.26837942,0.06314872,1.6825162,-0.26794848,-0.66221035,-0.2389338,-0.16682981,-0.99173135,0.3130724,-0.6368177,0.23947828,-0.7035298,0.28675985,-0.69618285,-1.5876132,0.7082659,0.16162224,0.92896414,-1.5742621,-0.012833973
STUDENT_288,-0.64882386,-1.5423255,-0.87815756,0.076137245,-1.8657554,0.13170183,0.3196203,-0.570316,0.23248887,1.1543308,-0.93829185,0.054715723,-1.2293876,0.76156676,3.1576948,-1.2482412,4.0503173,1.6040962,-4.259453,-1.1516972
STUDENT_437,0.48801738,0.097092345,0.08488381,-0.7105422,1.0618565,-0.24441141,0.6625287,-0.65716,-0.23912938,-0.5575455,-0.8007007,-0.18541074,0.89034086,0.37164083,-0.4039681,-0.10097234,1.3053678,0.9409078,-0.80915695,0.86298096
STUDENT_806,0.48934057,1.0880659,-0.2557135,-0.92973447,0.5628934,0.048075255,-0.60615593,0.5081404,-0.6605257,0.21704273,-0.5674693,-0.68755734,0.2760845,-1.1392266,-0.5725466,-0.080480516,0.10479636,-0.16590911,-0.28005958,-0.15849657
STUDENT_553,-0.42918253,-1.7361715,-0.18846242,-0.12359738,-2.2732584,0.16375226,-1.385809,-2.198133,-1.0954412,0.66814363,-0.61693877,0.79543597,-0.43590218,-0.01767785,-1.3667336,-0.8312071,0.7359248,-1.6084669,-3.7801878,-1.2950242
STUDENT_1063,0.17381279,-0.14774443,-0.042180657,0.18200552,-0.17349093,-0.054303788,0.74007255,-0.4514867,-0.7023431,-0.22628444,-0.62470776,1.4412103,0.14268759,0.013138646,-0.06926,0.50061405,0.12907298,0.257794,0.21643321,-0.07919743
STUDENT_1740,0.37958923,-0.15888928,-0.6207652,0.1524815,0.2239992,-0.5794723,0.4452389,0.50367945,-0.933288,0.29795367,-0.8956757,0.79662657,-0.15179177,-0.5159984,-0.12462616,-0.401189,1.0953909,0.019944845,-0.16314982,-0.2486599
STUDENT_1638,-0.2744416,-0.63942856,1.0094444,-0.20453376,-0.16039246,-0.7842296,0.6003297,0.40328515,-0.6687706,-0.6803595,-0.32953864,-0.8096722,0.45438546,0.15245563,0.28730235,1.0869794,0.32333127,-1.2182144,0.5461074,-0.1843387
STUDENT_1252,-0.23843305,-0.046881493,0.69459903,-0.32554173,-0.24881437,0.374997,0.023603603,0.23938584,-0.47622335,0.32588738,0.31485182,0.2647643,-0.56785244,-0.07312383,-0.7336881,0.314886,0.36615112,0.65574306,-0.5614563,0.87441283
STUDENT_1389,-1.4301234,1.1954491,1.131757,-1.3265241,-0.12790117,0.118111886,-0.30353594,1.3478144,-0.42533964,1.574212,-1.1451944,0.6691827,-0.9762004,0.7502092,-0.0898221,-1.8198602,1.2819889,-0.0031026471,-0.5015316,-0.71325576
STUDENT_778,0.38888547,0.06274943,0.44797224,-0.02618216,0.92030346,-0.106452145,-0.17955837,-0.15999083,0.3175522,0.026483014,0.050173685,0.030502506,-0.26589888,-0.16000609,-1.5114893,0.027423527,0.08236245,1.043848,-0.42893925,0.6154117
STUDENT_206,0.578335,0.63468224,0.20321041,-0.6408621,0.1552682,0.73220253,-1.2522599,0.017332535,0.01625073,-0.172527,-0.7784787,-0.06758721,0.29198116,-0.6348375,1.4317923,0.59478474,-0.009845738,-1.9585401,1.1752115,-0.7529896
STUDENT_851,-0.28548506,0.7750663,-0.033521995,-0.9353223,-0.27245644,-0.21582279,0.1449181,0.7806133,-0.50383174,0.25439906,0.46915367,-0.5333396,-0.55849785,-0.5106374,0.99077946,0.16502215,-0.30060914,0.24394253,0.6386058,-0.059740014
STUDENT_1370,0.530827,0.205115,-0.4452055,0.5034225,-0.77238905,-0.08710661,-0.233447,0.6041824,-0.20864776,0.22957371,-0.2875334,-0.29169908,0.17432155,-0.28663033,0.4939225,-1.3324082,1.0061785,-0.3345044,-0.00081992336,-0.9441175
STUDENT_1358,-0.22170167,-0.40600637,0.28274423,-0.1690377,-0.4875715,-0.06028881,0.80473024,0.25441873,-0.9396056,0.07453043,-0.75627726,0.76457864,-0.22166032,0.028637627,0.17053206,0.6129906,0.72491956,0.69665843,-0.7964132,0.5046192
STUDENT_1665,0.61344534,0.50127345,-0.77151096,0.04657197,0.5699389,-0.15272567,0.89773625,-0.46477005,0.008682548,-0.4204378,-0.8316708,0.043643907,0.7419949,0.12005255,0.18910554,-0.045676764,0.76101017,0.079750165,-0.14288916,-0.6728659
STUDENT_84,0.35030535,0.9730712,-0.56662846,-1.0602872,1.0599865,-0.19877659,-0.38393122,-0.16738962,-0.12737527,0.42054582,-0.32230824,-0.637029,-0.2922503,-0.4988505,-0.20981589,0.27889293,-0.9451604,-0.2824889,0.22258328,-0.33217952
STUDENT_1603,0.63714075,0.13952363,-0.21899289,-0.45109525,-0.25375342,0.06401522,-1.0426527,1.240025,-0.6845879,0.46580082,-1.2028049,-0.8856481,0.39607418,-0.29647925,-0.21723852,-1.0093663,1.3736962,-1.2898028,-1.2963579,-0.27982482
STUDENT_1736,-0.11880446,0.03774001,-0.8198992,-0.71468556,-1.0968039,0.17433858,-0.1719438,0.49714872,-1.2186819,1.1821929,-0.44182783,1.1921945,-1.2666886,0.2123071,1.1793038,-0.6570151,9.166729e-05,0.39979616,-1.056863,0.5005163
STUDENT_1345,0.73826396,0.033966083,-1.4026736,-0.019710481,-0.470933,0.100329585,0.07487358,-0.22810994,-0.57254034,0.21263854,-0.9727268,0.50260276,0.42693034,-0.36508968,0.65075773,-0.52356815,2.0637107,-1.1119497,-0.7390419,-1.0386089
STUDENT_421,0.2217953,0.06764418,-0.10690908,-0.14848226,-0.778929,0.83456385,-0.2861393,-0.28995207,-0.23206575,0.09066239,-0.36097792,-0.19085789,0.2318079,0.34292772,0.21292719,-0.12059915,0.5832642,-0.68713915,-1.2149929,-0.124307565
STUDENT_1686,-0.032831382,-0.0012204759,0.0335425,-0.43888453,-0.503304,0.12486199,-0.58786094,1.2966676,-0.9871406,0.8803754,-0.088306636,0.070630156,-0.5448738,-0.49304816,0.037910443,-0.6965902,1.2688497,-0.32835838,-0.46775615,0.22236736
STUDENT_630,0.0065941056,0.61062944,0.0153972795,-0.48117223,-0.77669275,0.21359861,-0.26035917,0.16402638,-0.71969044,0.31946337,0.58309484,-0.10493383,-0.30316105,-1.3295872,-0.538346,-0.054019447,0.7627194,0.35821134,-0.26140988,-0.281266
STUDENT_1266,-0.39313808,0.60657597,-0.32634097,-0.6023872,-0.4862153,-0.55935097,0.016569212,0.39961344,-0.3239652,0.43010563,0.84000343,-1.4452791,-0.28035858,-0.9370041,-0.08032347,-0.5280413,1.2920883,0.42049584,-0.5623021,-0.68243665
STUDENT_988,0.2574819,-0.2593688,0.5401427,-0.085241824,0.9580487,-0.58153975,-0.38574523,-1.2847651,0.92192364,-0.4132352,0.49815398,-0.44126722,0.12973352,0.2765899,-1.9212617,0.21204051,-0.48297557,0.12831055,-0.6380416,-0.541453
STUDENT_485,-0.035864882,0.32236257,-0.7960329,-0.22982526,-1.4378266,-0.043207623,0.66365016,-0.77489585,-0.6926593,-0.17173837,-0.116904914,-1.3193717,0.6359142,0.4795672,0.17453347,-0.48368093,-0.5762768,-1.1939602,-1.2359173,-1.057421
STUDENT_559,0.12631863,0.14933713,1.3420643,-2.011511,-0.1662014,-0.09507822,-0.75520355,-1.5547409,-0.38998014,-0.6907201,-0.11009076,0.2582085,-0.077788405,-0.073533714,-0.044129048,-0.38882288,0.1754777,1.9811888,-1.1336797,2.2159653
STUDENT_918,-0.45537886,0.5019901,-0.15431836,-0.5954925,-0.8140303,-0.5453085,0.23842482,-0.31268004,-0.13744304,0.08148967,0.18124023,-0.6130231,-0.45890868,-0.2089097,0.7846887,-0.006054285,-0.7678777,0.29667783,-0.3977998,-0.671233
STUDENT_707,-0.31886294,-1.7311888,0.526783,-1.5545923,-0.5631695,0.0659355,-1.2185237,-3.1236956,-1.0892864,-0.83289486,-0.32160217,0.97359914,0.26792943,1.1389561,-0.7301656,-0.50567347,1.1215653,-1.779688,-3.3126082,0.19941728
STUDENT_132,0.5272913,1.2296512,0.37258673,-1.5361924,1.2382897,0.8753832,-0.4591381,0.20879224,-0.30526835,0.062423065,-0.7534881,-0.6622453,0.2704907,-0.6708425,-0.7405994,0.977266,-0.029453564,0.36263356,-0.7726315,0.78719926
STUDENT_373,-0.2907194,-0.32292226,0.46768007,-0.40366584,-0.5019139,0.30320713,-0.5044058,0.012361493,-0.86394876,0.712546,-0.23688684,0.754955,-0.67629737,-0.13824461,-0.6769905,0.0812718,0.1123488,-0.10331877,-1.1436979,0.649829
STUDENT_1634,-0.13570385,-0.044562217,0.3165597,0.2988233,-0.9347491,-0.8847281,1.7387457,-0.6174029,-0.87385094,-1.0112569,-0.7453657,-0.4106972,1.0584917,0.2696368,-0.49577135,0.0841657,-0.61862344,0.79118085,-0.5617801,-0.68320733
STUDENT_417,0.239709,0.01572359,0.4804056,-0.5127661,0.5824454,0.6421739,-0.33176237,-0.14704148,0.75652605,0.03851979,0.12922652,-0.4373759,-0.34111607,0.9533223,1.2525531,0.9204916,0.057300698,-1.5809897,0.6416877,-0.040883236
STUDENT_1326,-0.2390199,-1.0412676,0.22993559,-0.066945866,-0.08000128,-0.11485099,-0.12426432,0.032863718,-0.41026574,0.3008446,-0.7900541,0.6891513,-0.42988783,-0.12105525,0.17903185,0.60206974,1.748201,-0.428328,-0.88989127,0.18795246
STUDENT_969,-0.3624906,-0.122535095,0.48580313,-0.342221,-0.28489822,0.3115434,0.14921124,0.27813917,-0.39343035,0.44904178,0.5157518,0.046073988,-0.6799297,0.055658385,-0.5462285,0.28222802,0.71218616,0.6947337,-0.64881253,0.7268231
STUDENT_741,-0.058186017,0.93440664,-0.58844835,-0.28149876,-1.0071158,-0.38648522,0.34187204,-0.55785143,-0.55237895,0.036949202,-0.14622721,-0.21684256,-0.11088265,-0.65388435,-0.037989024,-0.59768945,-1.1306336,0.7743157,-0.5179027,-0.8554471
STUDENT_41,0.2027332,0.47145382,-1.38114,-0.3492625,1.2887415,-0.08159911,0.5732209,0.10031539,-0.9953214,0.47494948,0.82608443,0.103877,-0.43449318,0.60079044,-0.12184298,-0.08353169,0.38814443,-0.71695226,-0.029178185,-0.7600673
STUDENT_443,0.111233585,-0.29512298,0.15461487,-0.4314534,0.97432995,-0.36549655,0.76815397,-0.86391205,1.0695828,-0.6899301,-0.09812488,-0.96226674,0.2749496,1.3476832,0.7994159,1.4698341,0.429952,-1.0490388,0.7370084,-0.86626625
STUDENT_439,0.017810173,0.19046918,-0.69634265,-0.08232187,-0.21160495,-0.47612143,-0.70143354,-0.57709926,0.6514343,0.42765915,-0.20492043,-0.5243419,-0.35020623,-0.8812925,0.45915297,-0.66000134,0.8167468,0.0077788513,-0.8911029,-1.2038351
