IDX_STUDENT,Reconstruction error
STUDENT_1093,630.2241
STUDENT_628,381.33704
STUDENT_1267,396.84222
STUDENT_288,883.2208
STUDENT_437,630.4832
STUDENT_806,398.76843
STUDENT_553,648.6167
STUDENT_1063,635.7518
STUDENT_1740,678.76624
STUDENT_1638,674.16626
STUDENT_1252,627.823
STUDENT_1389,686.28827
STUDENT_778,630.03143
STUDENT_206,397.80692
STUDENT_851,396.50732
STUDENT_1370,687.4364
STUDENT_1358,638.48645
STUDENT_1665,640.88446
STUDENT_84,401.18317
STUDENT_1603,710.88214
STUDENT_1736,698.6836
STUDENT_1345,693.4543
STUDENT_421,646.6447
STUDENT_1686,688.95984
STUDENT_630,385.4174
STUDENT_1266,411.67508
STUDENT_988,639.0313
STUDENT_485,698.3396
STUDENT_559,379.2356
STUDENT_918,410.94302
STUDENT_707,693.71436
STUDENT_132,389.77884
STUDENT_373,640.55865
STUDENT_1634,652.30255
STUDENT_417,643.6872
STUDENT_1326,652.8064
STUDENT_969,640.5845
STUDENT_741,399.5774
STUDENT_41,769.9473
STUDENT_443,651.29065
STUDENT_439,390.133
STUDENT_1734,658.4544
STUDENT_518,648.3655
STUDENT_78,405.47784
STUDENT_436,402.1698
STUDENT_1163,626.09375
STUDENT_1418,655.27496
STUDENT_1533,653.6394
STUDENT_1169,611.2636
STUDENT_1580,675.0711
STUDENT_1813,656.2093
STUDENT_577,617.6998
STUDENT_702,616.3614
STUDENT_1722,697.4525
STUDENT_316,390.04327
STUDENT_1452,653.9887
STUDENT_579,429.30887
STUDENT_374,686.2582
STUDENT_1354,690.75195
STUDENT_404,689.0688
STUDENT_891,663.0273
STUDENT_1311,393.01846
STUDENT_1280,638.2708
STUDENT_33,392.819
STUDENT_1168,683.0869
STUDENT_833,394.51117
STUDENT_1372,674.85504
STUDENT_1621,660.0916
STUDENT_1887,657.4696
STUDENT_1393,655.3794
STUDENT_230,412.13364
STUDENT_608,628.2146
STUDENT_661,648.0122
STUDENT_265,398.55966
STUDENT_438,665.6405
STUDENT_1941,680.0363
STUDENT_650,380.39398
STUDENT_461,646.0032
STUDENT_639,634.1895
STUDENT_889,614.82587
STUDENT_355,386.67883
STUDENT_1893,654.6517
STUDENT_1581,703.6548
STUDENT_354,389.94122
STUDENT_1647,650.72345
STUDENT_1226,394.11594
STUDENT_1848,657.1705
STUDENT_1245,640.79584
STUDENT_799,621.80133
STUDENT_857,637.21405
STUDENT_1296,649.09595
STUDENT_1889,643.87195
STUDENT_128,388.36404
STUDENT_126,414.6867
STUDENT_152,393.1236
STUDENT_664,699.6097
STUDENT_347,656.0313
STUDENT_580,609.5627
STUDENT_824,641.49634
STUDENT_1215,620.169
STUDENT_761,620.2778
STUDENT_1894,687.7217
STUDENT_849,655.3763
STUDENT_676,665.4178
STUDENT_1495,660.409
STUDENT_1641,649.4387
STUDENT_1836,686.8586
STUDENT_487,664.9532
STUDENT_558,387.45407
STUDENT_502,390.54642
STUDENT_854,608.3927
STUDENT_614,636.2296
STUDENT_1305,783.217
STUDENT_1875,688.557
STUDENT_599,670.0234
STUDENT_1544,624.9228
STUDENT_272,396.3897
STUDENT_1885,676.0415
STUDENT_1771,665.909
STUDENT_1661,632.1342
STUDENT_1064,663.742
STUDENT_1340,677.4053
STUDENT_434,387.99573
STUDENT_843,385.9751
STUDENT_713,644.13794
STUDENT_1918,684.55554
STUDENT_1484,671.06714
STUDENT_1531,650.75085
STUDENT_62,440.84372
STUDENT_1825,645.01306
STUDENT_1908,655.8315
STUDENT_715,669.8715
STUDENT_839,391.68903
STUDENT_293,380.88733
STUDENT_255,386.4919
STUDENT_445,634.93964
STUDENT_1917,762.7752
STUDENT_1870,671.86847
STUDENT_94,398.58676
STUDENT_1927,669.3399
STUDENT_406,397.02246
STUDENT_87,399.6375
STUDENT_83,388.33215
STUDENT_506,618.8386
STUDENT_567,402.05695
STUDENT_1104,659.4231
STUDENT_1831,650.42267
STUDENT_586,408.1443
STUDENT_450,631.6127
STUDENT_1684,623.73895
STUDENT_221,389.00525
STUDENT_1627,663.2971
STUDENT_397,381.00107
STUDENT_92,393.73724
STUDENT_1655,658.6453
STUDENT_1928,647.56335
STUDENT_269,403.87976
STUDENT_1344,633.0919
STUDENT_1693,705.2496
STUDENT_777,656.6572
STUDENT_1493,651.4396
STUDENT_1088,377.477
STUDENT_1834,679.1033
STUDENT_43,379.63718
STUDENT_1259,640.8151
STUDENT_190,387.64026
STUDENT_228,404.72388
STUDENT_641,614.7923
STUDENT_1100,637.8854
STUDENT_1752,643.74854
STUDENT_116,389.0379
STUDENT_362,388.74777
STUDENT_257,394.9114
STUDENT_1223,622.7951
STUDENT_1618,645.75305
STUDENT_1518,636.27386
STUDENT_185,391.65942
STUDENT_1487,688.92596
STUDENT_8,669.4375
STUDENT_25,678.8596
STUDENT_29,748.02576
STUDENT_32,667.6801
STUDENT_34,744.95337
STUDENT_42,675.92584
STUDENT_82,428.9222
STUDENT_89,388.61548
STUDENT_90,389.3612
STUDENT_99,486.71622
STUDENT_195,675.22675
