features,pvalue,effect_size
COD_PROGRAMA,9.230950356702964e-05,0.24246530072703237
JORNADA,0.138280158073028,0.09193654990085923
DURACION,0.009253145126963413,0.16140118968935888
PERIODO_INGRESO,0.0684141376790009,-0.1130204890945142
ESTADO_CIVIL,2.155601186370008e-07,0.3215465961665565
ESTRATO,0.6003325116557412,0.032518175809649705
CONDICION_EXCEPCION,1.0899384398203147e-06,0.3022802379378718
TIPO_COLEGIO,0.19325441993725834,0.08070059484467944
RANGO_INGRESOS,0.038793019509119946,0.1281559814937211
RANGO_GASTOS,0.027085667486595667,0.13707865168539327
TIPO_VIVIENDA,0.030267159105544297,0.13436880370125578
PUNTAJE_ICFES,0.0007286123583295864,0.209517514871117
PCN,0.2871623484929645,0.06602775941837409
PLC,0.16403782720427307,0.08631857237276934
PMA,0.5459301612735479,-0.03747521480502313
PSC,0.7910921776888407,-0.016457369464639788
PIN,0.0988103260588422,0.10237937871777925
