,COD_PROGRAMA,JORNADA,DURACION,PERIODO_INGRESO,ESTADO_CIVIL,ESTRATO,CONDICION_EXCEPCION,TIPO_COLEGIO,RANGO_INGRESOS,RANGO_GASTOS,TIPO_VIVIENDA,PUNTAJE_ICFES,PCN,PLC,PMA,PSC,PIN
0,0.30472571050892266,0.15502313284864508,0.30138797091870456,0.16007931262392597,-0.044282881692002646,0.12072042300066094,0.39699272967614013,0.0550561797752809,0.043027098479841375,0.0034368803701255784,0.08909451421017846,0.09068076668869796,0.027164573694646397,0.10575016523463318,-0.038400528750826175,-0.002048909451421018,-0.020356906807666886
1,0.21183079973562458,-0.13866490416391275,0.4476536682088566,0.2258426966292135,-0.15991407799074686,-0.0813615333773959,-0.2513549239920687,0.024719101123595506,0.051354923992068736,0.1461335095836087,0.013747521480502314,0.0722405816259088,-0.001784534038334435,0.10733641771315268,-0.05849306014540648,0.07237276933245208,0.04111037673496365
2,0.2832452081956378,-0.05366820885657634,-0.05545274289491078,0.1844018506278916,0.08446794448116325,0.17230667547918044,-0.058955717118308,0.019563780568407137,0.15518836748182419,0.04395241242564441,0.13549239920687375,0.1280237937871778,-0.0023793787177792463,0.13060145406477197,-0.004560475875743556,0.03129543952412426,-0.05730337078651685
3,0.03235294117647059,0.23096497025776602,0.4344018506278916,0.15684071381361533,-0.040185062789160605,0.06549900859220092,-0.04401850627891606,-0.10733641771315268,-0.0580964970257766,0.16569729015201587,0.03734302709847984,0.11817580964970258,0.012954395241242565,0.14111037673496366,-0.008327825512227363,0.009715796430931923,-0.018109715796430934
4,-0.052148050231328485,-0.0465300727032386,0.21658955717118308,0.10568407138136153,0.09586913417052215,0.15069398545935228,-0.05472571050892267,-0.1953734302709848,0.22481824190350297,0.04857898215465962,0.15485789821546597,-0.005915399867812293,0.01427627230667548,0.08486450760079313,-0.04877726371447456,0.02224058162590879,-0.10370125578321217
5,0.24246530072703237,0.09193654990085923,0.16140118968935888,-0.1130204890945142,0.3215465961665565,0.032518175809649705,0.3022802379378718,0.08070059484467944,0.1281559814937211,0.13707865168539327,0.13436880370125578,0.209517514871117,0.06602775941837409,0.08631857237276934,-0.03747521480502313,-0.016457369464639788,0.10237937871777925
6,0.13968935888962328,0.0317911434236616,0.41731658955717116,-0.07461996034368804,0.2353932584269663,0.14058162590879048,0.20277594183740913,-0.035095836087243884,-0.08783873099801719,0.017680105750165234,0.04375413086582948,0.06477197620621282,-0.003304692663582287,0.14071381361533378,-0.03529411764705882,-0.011434236615994712,-0.08711169861202908
7,0.37498347653668207,0.17878387309980173,-0.3448446794448116,0.18413747521480503,-0.16596166556510245,0.011698612029081295,0.42286847323198945,0.10846001321877065,0.14239920687376073,0.15284203569068078,-0.018374091209517517,0.034368803701255786,-0.005684071381361533,0.11021150033046927,-0.046265697290152015,0.007865168539325843,-0.09643093192333113
8,0.34170522141440846,0.26711830799735625,-0.27881692002643754,0.2721083939193655,0.03307997356245869,0.1696298744216788,0.07191011235955057,-0.10449438202247191,0.22042300066093853,-0.15076007931262392,0.17561136814276274,0.13152676801057503,0.0037012557832121614,0.09867812293456708,-0.023925974884335757,0.07567746199603437,-0.025974884335756773
9,-0.05261070720423001,0.18235294117647058,0.41625908790482485,-0.002048909451421018,0.08955717118307997,0.14368803701255783,-0.01463978849966953,0.02934567085261071,0.24259748843357568,-0.08572372769332452,0.1868473231989425,0.19299405155320556,-0.0015862524785194977,0.09960343688037013,-0.041837409120951755,-0.018572372769332452,-0.10436219431592862
