IDX_STUDENT,Reconstruction error
STUDENT_1093,0.0007692855
STUDENT_628,0.0037711665
STUDENT_1267,0.0019626964
STUDENT_288,0.010920178
STUDENT_437,0.0025726985
STUDENT_806,0.001560589
STUDENT_553,0.00282994
STUDENT_1063,0.00094583596
STUDENT_1740,0.0011689428
STUDENT_1638,0.0044193137
STUDENT_1252,0.0002892386
STUDENT_1389,0.0053696674
STUDENT_778,0.0009113345
STUDENT_206,0.0029630882
STUDENT_851,0.002866851
STUDENT_1370,0.0016168623
STUDENT_1358,0.0015977795
STUDENT_1665,0.0027899237
STUDENT_84,0.0010758513
STUDENT_1603,0.0015629902
STUDENT_1736,0.0031568124
STUDENT_1345,0.0028080922
STUDENT_421,0.00058145943
STUDENT_1686,0.00040461167
STUDENT_630,0.0017618606
STUDENT_1266,0.005590585
STUDENT_988,0.0041418336
STUDENT_485,0.0024181716
STUDENT_559,0.0105888
STUDENT_918,0.0033317518
STUDENT_707,0.0069796727
STUDENT_132,0.0008173921
STUDENT_373,0.001215429
STUDENT_1634,0.00062287593
STUDENT_417,0.0023714942
STUDENT_1326,0.0029076787
STUDENT_969,0.00038071253
STUDENT_741,0.0025184546
STUDENT_41,0.003347609
STUDENT_443,0.006279832
STUDENT_439,0.0015021834
STUDENT_1734,0.0016514341
STUDENT_518,0.0012323735
STUDENT_78,0.0070064715
STUDENT_436,0.0008471944
STUDENT_1163,0.001090579
STUDENT_1418,0.0014208257
STUDENT_1533,0.0012089603
STUDENT_1169,0.0024916371
STUDENT_1580,0.0024984365
STUDENT_1813,0.0018014963
STUDENT_577,0.00068469014
STUDENT_702,0.013357128
STUDENT_1722,0.008531166
STUDENT_316,0.002231408
STUDENT_1452,0.00398992
STUDENT_579,0.0060012043
STUDENT_374,0.002200855
STUDENT_1354,0.0019346155
STUDENT_404,0.0010827555
STUDENT_891,0.004722529
STUDENT_1311,0.0010786447
STUDENT_1280,0.0012572241
STUDENT_33,0.0025641362
STUDENT_1168,0.0032262641
STUDENT_833,0.0011831503
STUDENT_1372,0.0035626423
STUDENT_1621,0.0011564461
STUDENT_1887,0.0018049773
STUDENT_1393,0.0009444612
STUDENT_230,0.0059500565
STUDENT_608,0.0036029983
STUDENT_661,0.0047028996
STUDENT_265,0.001174132
STUDENT_438,0.0011793555
STUDENT_1941,0.004051638
STUDENT_650,0.0028999683
STUDENT_461,0.00063869706
STUDENT_639,0.0046355864
STUDENT_889,0.0010891901
STUDENT_355,0.0040385034
STUDENT_1893,0.0051627853
STUDENT_1581,0.0048915097
STUDENT_354,0.000746873
STUDENT_1647,0.0014110518
STUDENT_1226,0.003092183
STUDENT_1848,0.0018508502
STUDENT_1245,0.0069522955
STUDENT_799,0.0010192847
STUDENT_857,0.0015939373
STUDENT_1296,0.008987308
STUDENT_1889,0.002833793
STUDENT_128,0.0032155327
STUDENT_126,0.0037005225
STUDENT_152,0.00094776077
STUDENT_664,0.0033680703
STUDENT_347,0.0012840875
STUDENT_580,0.0025825126
STUDENT_824,0.0067712558
STUDENT_1215,0.0020565903
STUDENT_761,0.0018324371
STUDENT_1894,0.0029479545
STUDENT_849,0.005462623
STUDENT_676,0.0020237586
STUDENT_1495,0.0005820637
STUDENT_1641,0.0033616868
STUDENT_1836,0.0005316339
STUDENT_487,0.0019792477
STUDENT_558,0.0011634519
STUDENT_502,0.0014639148
STUDENT_854,0.0017598247
STUDENT_614,0.004914968
STUDENT_1305,0.008136548
STUDENT_1875,0.0010155316
STUDENT_599,0.0020065114
STUDENT_1544,0.0017182425
STUDENT_272,0.0047750804
STUDENT_1885,0.0014112308
STUDENT_1771,0.00296415
STUDENT_1661,0.001956712
STUDENT_1064,0.0024514813
STUDENT_1340,0.0015354364
STUDENT_434,0.0018239274
STUDENT_843,0.0040637143
STUDENT_713,0.0003677655
STUDENT_1918,0.0024620143
STUDENT_1484,0.0010412341
STUDENT_1531,0.0014065079
STUDENT_62,0.0033621078
STUDENT_1825,0.004090728
STUDENT_1908,0.0013491163
STUDENT_715,0.004420691
STUDENT_839,0.0018798771
STUDENT_293,0.0018107693
STUDENT_255,0.0013497808
STUDENT_445,0.0017318166
STUDENT_1917,0.013422296
STUDENT_1870,0.0015885447
STUDENT_94,0.0016442887
STUDENT_1927,0.0019918564
STUDENT_406,0.002111845
STUDENT_87,0.0010275156
STUDENT_83,0.0031483485
STUDENT_506,0.0011458632
STUDENT_567,0.0031512412
STUDENT_1104,0.0027219385
STUDENT_1831,0.0015296186
STUDENT_586,0.0010614034
STUDENT_450,0.0015647196
STUDENT_1684,0.0015803317
STUDENT_221,0.0011482864
STUDENT_1627,0.0023817278
STUDENT_397,0.0016602126
STUDENT_92,0.0013862714
STUDENT_1655,0.000679954
STUDENT_1928,0.0015260908
STUDENT_269,0.0025819812
STUDENT_1344,0.0010187199
STUDENT_1693,0.003092809
STUDENT_777,0.003612336
STUDENT_1493,0.00058093306
STUDENT_1088,0.002279548
STUDENT_1834,0.0010068187
STUDENT_43,0.0026405852
STUDENT_1259,0.032690108
STUDENT_190,0.000778148
STUDENT_228,0.0023419452
STUDENT_641,0.00059313374
STUDENT_1100,0.013335221
STUDENT_1752,0.0026318254
STUDENT_116,0.00088107627
STUDENT_362,0.0024724847
STUDENT_257,0.0007555644
STUDENT_1223,0.0017842422
STUDENT_1618,0.0006173493
STUDENT_1518,0.00090318057
STUDENT_185,0.00085010054
STUDENT_1487,0.0027452796
STUDENT_8,0.0034868966
STUDENT_25,0.0041821
STUDENT_29,0.0017750021
STUDENT_32,0.0011385201
STUDENT_34,0.0012196181
STUDENT_42,0.0043780943
STUDENT_82,0.0025875426
STUDENT_89,0.0033058971
STUDENT_90,0.0023819346
STUDENT_99,0.0066219703
STUDENT_195,0.006597909
STUDENT_300,0.007087732
STUDENT_318,0.0018794865
STUDENT_321,0.0024086272
STUDENT_322,0.0026348748
STUDENT_332,0.0021282283
STUDENT_556,0.0014266828
STUDENT_575,0.0012191504
STUDENT_589,0.00056623755
STUDENT_590,0.0024108486
STUDENT_591,0.0156003535
STUDENT_593,0.0013571709
STUDENT_600,0.0036780334
STUDENT_601,0.0058380356
STUDENT_602,0.0010813756
STUDENT_651,0.0040866486
STUDENT_791,0.004455479
STUDENT_813,0.0016902916
STUDENT_814,0.002313723
STUDENT_815,0.0073586367
STUDENT_818,0.0006209123
STUDENT_826,0.0017854163
STUDENT_827,0.00074323785
STUDENT_866,0.0010721213
STUDENT_869,0.0058125076
STUDENT_872,0.0011680113
STUDENT_886,0.00428142
STUDENT_895,0.0008057669
STUDENT_898,0.0025662535
STUDENT_900,0.001664417
STUDENT_901,0.0014726977
STUDENT_903,0.0028065927
STUDENT_904,0.0008103834
STUDENT_909,0.002153382
STUDENT_910,0.0025467514
STUDENT_912,0.0074409298
STUDENT_913,0.0006417733
STUDENT_914,0.0012248693
STUDENT_915,0.0014027052
STUDENT_921,0.0023509027
STUDENT_935,0.0038456535
STUDENT_958,0.007842875
STUDENT_979,0.0014713296
STUDENT_982,0.0054275207
STUDENT_983,0.0016325287
STUDENT_992,0.0005601009
STUDENT_993,0.0015454029
STUDENT_1013,0.0031366874
STUDENT_1015,0.0014466059
STUDENT_1017,0.0016169136
STUDENT_1022,0.0057252753
STUDENT_1023,0.003229251
STUDENT_1024,0.0017590782
STUDENT_1026,0.0031740179
STUDENT_1027,0.0033569357
STUDENT_1028,0.0016265537
STUDENT_1029,0.0011365921
STUDENT_1030,0.0035267984
STUDENT_1032,0.00093622
STUDENT_1033,0.005951564
STUDENT_1034,0.0019139992
STUDENT_1035,0.0008931493
STUDENT_1036,0.0028592143
STUDENT_1037,0.0019374463
STUDENT_1041,0.0031262066
STUDENT_1044,0.0028947748
STUDENT_1045,0.0006563561
STUDENT_1074,0.0011198681
STUDENT_1075,0.00075180037
STUDENT_1076,0.0010693168
STUDENT_1077,0.0041500954
STUDENT_1078,0.001509235
STUDENT_1081,0.0014726673
STUDENT_1083,0.0008297806
STUDENT_1084,0.002884688
STUDENT_1085,0.0010631857
STUDENT_1107,0.0022062603
STUDENT_1111,0.0024773846
STUDENT_1112,0.0017085219
STUDENT_1117,0.00904141
STUDENT_1120,0.006984142
STUDENT_1122,0.0049663875
STUDENT_1123,0.0015501842
STUDENT_1124,0.00072126073
STUDENT_1125,0.0105378255
STUDENT_1127,0.0022084191
STUDENT_1137,0.00465219
STUDENT_1140,0.0044924626
STUDENT_1142,0.0016372318
STUDENT_1144,0.0046682693
STUDENT_1145,0.0034003155
STUDENT_1151,0.0040319758
STUDENT_1154,0.0012925577
STUDENT_1155,0.020681504
STUDENT_1158,0.0014045472
STUDENT_1159,0.0018868679
STUDENT_1164,0.0046344786
STUDENT_1166,0.002179238
STUDENT_1170,0.002873346
STUDENT_1174,0.0026588633
STUDENT_1177,0.0020464633
STUDENT_1181,0.001744372
STUDENT_1182,0.002985583
STUDENT_1183,0.0012766588
STUDENT_1185,0.005056057
STUDENT_1187,0.0045139147
STUDENT_1188,0.002693505
STUDENT_1189,0.0029835694
STUDENT_1198,0.0019950308
STUDENT_1201,0.0016516274
STUDENT_1202,0.003189652
STUDENT_1205,0.0014741101
STUDENT_1206,0.010798262
STUDENT_1207,0.0019185866
STUDENT_1209,0.003585943
STUDENT_1212,0.0015096006
STUDENT_1213,0.021740422
STUDENT_1321,0.0020373883
STUDENT_1349,0.0010157482
STUDENT_1362,0.0011441102
STUDENT_1363,0.0012881928
STUDENT_1383,0.0037782213
STUDENT_1390,0.0020047375
STUDENT_1395,0.0022084597
STUDENT_1407,0.005371318
STUDENT_1411,0.0012669769
STUDENT_1414,0.000539412
STUDENT_1415,0.0013251207
STUDENT_1431,0.0028892753
STUDENT_1433,0.0016100878
STUDENT_1434,0.0010924943
STUDENT_1442,0.002730298
STUDENT_1451,0.001714343
STUDENT_1463,0.0025352002
STUDENT_1467,0.002083043
STUDENT_1485,0.0016776875
STUDENT_1488,0.0018497753
STUDENT_1494,0.003886943
STUDENT_1499,0.0016025684
STUDENT_1536,0.004486092
STUDENT_1537,0.0010685932
STUDENT_1553,0.0010709532
STUDENT_1561,0.0012012286
STUDENT_1563,0.0014399976
STUDENT_1565,0.000776722
STUDENT_1566,0.0017027244
STUDENT_1589,0.00270608
STUDENT_1594,0.002763344
STUDENT_1595,0.00065973925
STUDENT_1598,0.0015680166
STUDENT_1620,0.00048391926
STUDENT_1625,0.0041723354
STUDENT_1628,0.002428833
STUDENT_1640,0.0013726284
STUDENT_1643,0.0013636342
STUDENT_1648,0.0028909636
STUDENT_1746,0.0012913303
STUDENT_1750,0.0045851553
STUDENT_1773,0.0013424552
STUDENT_1873,0.0017490234
