IDX_STUDENT,COD_PROGRAMA,JORNADA,DURACION,PERIODO_INGRESO,ESTADO_CIVIL,ESTRATO,CONDICION_EXCEPCION,TIPO_COLEGIO,RANGO_INGRESOS,RANGO_GASTOS,TIPO_VIVIENDA,PUNTAJE_ICFES,PCN,PLC,PMA,PSC,PIN
STUDENT_1093,2704.5732,1.9264768,7.8146305,7.644274,0.35617384,0.9713938,1.1226414,0.3852412,-0.20311053,3.294691,2.181071,261.14203,52.354584,53.803402,54.878376,49.814686,51.672085
STUDENT_628,2126.8733,2.1548247,6.8361835,8.290049,-0.028851181,1.6580317,0.3532895,1.1138599,0.5548851,3.5508175,3.2426326,288.0515,56.62068,57.39311,60.470417,56.517796,57.781483
STUDENT_1267,2127.5151,2.03684,6.8002644,9.4331455,-0.612599,1.7448237,0.9003552,1.3797042,0.76926345,3.093214,3.388457,303.03497,59.6451,60.03395,63.224857,60.106785,61.01103
STUDENT_288,2722.0222,3.2311873,7.2008,6.707293,-2.2499588,1.402241,-0.5692531,1.776923,0.47054976,4.2922726,3.0811641,168.06487,36.816536,40.942307,36.40305,27.252964,29.595211
STUDENT_437,2706.6824,1.92077,7.752466,7.664126,0.39329848,1.0314219,1.1565922,0.4226901,-0.17475207,3.3029003,2.224757,259.83237,52.04265,53.637177,54.663334,49.45104,51.392445
STUDENT_806,2126.7278,1.7862104,6.360285,6.826281,0.13442549,1.3600199,0.54020965,0.70266026,0.26136702,2.9421597,2.492133,246.7225,48.912292,49.741287,51.949345,47.549564,49.23426
STUDENT_553,2703.7996,2.0474486,7.8004856,7.2836633,0.5164522,0.95811105,1.128043,0.43432492,-0.20295031,3.20545,2.2986705,248.99437,49.777584,51.867485,52.65111,46.94681,48.94976
STUDENT_1063,2702.884,1.8949369,7.924776,7.5421624,0.41716322,0.90804696,1.1355351,0.42101926,-0.20105822,3.4730434,2.306399,260.1236,52.11147,53.573143,54.71729,49.59856,51.37942
STUDENT_1740,2703.6113,2.3966079,7.949915,6.7848687,-0.30440965,1.2498438,0.8446034,0.43764752,-0.6358116,3.1030483,2.741782,219.49171,44.713104,47.420067,47.077396,40.107655,42.569565
STUDENT_1638,2705.711,1.9955076,7.901682,7.587458,0.46658644,1.1206477,1.1504658,0.42242497,-0.20654376,3.4549618,2.2943676,266.62064,53.52015,54.734333,56.01369,50.83121,52.82155
STUDENT_1252,2704.3076,1.9349226,7.810526,7.6007257,0.41611037,0.9967463,1.1207722,0.41029042,-0.1790169,3.3216457,2.2500064,259.47913,51.96577,53.545807,54.600605,49.384785,51.29681
STUDENT_1389,2704.546,2.6174102,8.008226,6.6526284,-0.4211394,1.2606547,0.70850265,0.4873492,-0.7945259,3.25556,2.9169452,213.00739,43.7374,46.533318,45.847492,38.392353,40.97699
STUDENT_778,2704.9004,1.8934263,7.777651,8.058062,0.13061842,1.1359599,1.1390446,0.45468777,-0.10738451,3.5129604,2.2853801,274.4751,55.069748,56.096085,57.603275,52.753223,54.55607
STUDENT_206,2125.0034,1.7114004,6.395769,6.540545,0.1803163,1.1213648,0.6373395,0.5950362,0.1481468,3.1013088,2.3638103,237.1225,47.161423,47.965034,49.91924,45.696064,47.15986
STUDENT_851,2128.2039,1.6960768,6.3446217,6.6433053,0.1880754,1.2785914,0.58321655,0.5935733,0.21050946,3.0081997,2.3838909,237.4501,47.206623,48.09079,50.020527,45.693913,47.254997
