features,pvalue,effect_size
COD_PROGRAMA,0.08583226497541024,-0.10654329147389292
JORNADA,0.6725465459720164,-0.026239259748843356
DURACION,0.006344843103327274,0.16926635822868474
PERIODO_INGRESO,0.14085019660124032,0.09134170522141441
ESTADO_CIVIL,0.5248749388869883,0.03945803040317251
ESTRATO,0.42124018016166775,0.04990085922009253
CONDICION_EXCEPCION,0.2560457100618102,-0.07045604758757436
TIPO_COLEGIO,0.7665645422281879,-0.01844018506278916
RANGO_INGRESOS,0.31249384986744855,0.06265697290152016
RANGO_GASTOS,0.8893643376728856,0.008658294778585592
TIPO_VIVIENDA,0.02494457518195609,-0.13906146728354263
PUNTAJE_ICFES,0.06602428354229864,0.1140118968935889
PCN,0.09265385627275591,0.10429610046265697
PLC,0.3680093120850143,0.05584930601454065
PMA,0.009633926473381203,0.16054196959682748
PSC,0.46952133637508553,0.044877726371447456
PIN,0.2944645820184729,0.06503635161929941
