IDX_STUDENT,COD_PROGRAMA,JORNADA,DURACION,PERIODO_INGRESO,ESTADO_CIVIL,ESTRATO,CONDICION_EXCEPCION,TIPO_COLEGIO,RANGO_INGRESOS,RANGO_GASTOS,TIPO_VIVIENDA,PUNTAJE_ICFES,PCN,PLC,PMA,PSC,PIN
STUDENT_1189,2839,2,6,15,1,1,1,1,2,2,1,250,47,50,45,64,44
STUDENT_1198,2711,1,6,14,1,3,1,1,2,2,1,333,61,63,68,75,66
STUDENT_1201,2722,1,6,15,1,1,1,1,2,2,5,272,51,62,55,55,49
STUDENT_1202,2839,2,6,14,1,1,1,1,2,2,2,305,61,56,62,62,64
STUDENT_1205,2722,1,6,15,1,1,1,1,2,2,2,274,59,56,56,50,53
STUDENT_1206,2721,2,7,13,1,1,1,1,3,3,1,133,47,38,49,0,0
STUDENT_1207,2839,2,6,14,1,1,1,1,2,2,2,257,52,43,62,56,44
STUDENT_1209,2839,2,6,14,1,2,1,1,2,2,1,292,61,65,55,68,43
STUDENT_1212,2839,2,6,14,1,1,1,1,2,2,2,296,63,62,62,56,53
STUDENT_1213,2711,1,6,14,1,1,5,2,2,2,1,304,66,63,56,68,51
STUDENT_1321,2711,2,7,8,1,1,1,2,2,2,1,251,49,53,55,46,48
STUDENT_1349,2711,2,7,8,1,1,1,2,2,2,2,281,60,52,55,62,52
STUDENT_1362,2711,1,6,6,1,2,1,2,2,2,2,228,42,45,53,48,39
STUDENT_1363,2711,1,6,6,1,2,1,1,2,2,1,215,46,42,41,41,45
STUDENT_1383,2711,1,6,6,1,2,1,1,6,6,1,266,57,51,52,58,48
STUDENT_1390,2711,1,6,6,1,2,1,2,4,4,1,254,60,52,60,49,33
STUDENT_1395,2711,1,6,6,1,3,1,1,3,3,2,279,54,64,55,57,50
STUDENT_1407,2711,2,7,5,1,1,1,1,6,6,1,270,53,61,55,48,53
STUDENT_1411,2711,2,7,5,1,1,1,1,3,3,1,272,50,46,61,56,60
STUDENT_1414,2711,2,7,5,1,2,1,1,2,2,1,243,46,54,52,48,43
STUDENT_1415,2711,2,7,5,1,3,1,1,2,2,1,235,48,42,56,39,50
STUDENT_1431,2711,2,7,5,1,3,1,1,2,2,5,258,54,50,64,46,45
STUDENT_1433,2711,2,7,5,1,1,1,1,2,2,3,261,55,53,64,46,43
STUDENT_1434,2711,2,7,5,1,2,1,1,2,2,2,260,58,47,55,51,49
STUDENT_1442,2711,2,7,5,1,1,1,1,1,1,2,256,51,49,56,57,43
STUDENT_1451,2711,2,7,5,1,3,1,1,2,2,2,289,54,53,69,68,45
STUDENT_1463,2711,1,6,4,1,2,1,2,3,3,1,272,52,44,61,50,64
STUDENT_1467,2711,1,6,4,1,1,1,2,3,3,1,289,58,50,63,66,52
STUDENT_1485,2711,1,6,4,1,1,1,2,2,2,1,252,49,44,64,49,45
STUDENT_1488,2711,1,6,4,1,1,1,2,4,4,2,275,55,52,57,58,52
STUDENT_1494,2711,1,6,4,1,2,1,1,3,3,2,276,53,53,71,50,49
STUDENT_1499,2711,1,6,4,1,2,1,2,2,2,2,308,59,51,63,63,72
STUDENT_1536,2711,2,7,3,2,2,1,2,2,2,3,279,50,46,74,63,46
STUDENT_1537,2711,2,7,3,1,1,1,2,2,2,1,276,50,57,56,62,50
STUDENT_1553,2711,2,7,3,1,1,1,1,2,2,2,293,61,63,56,64,48
STUDENT_1561,2711,1,6,1,1,2,1,1,1,1,1,257,52,53,47,58,46
STUDENT_1563,2711,1,6,1,1,2,1,1,2,2,2,284,54,55,61,51,63
STUDENT_1565,2711,1,6,1,1,2,1,1,2,2,2,243,47,56,46,48,46
STUDENT_1566,2711,1,6,1,1,2,1,1,2,2,1,223,43,42,48,46,43
STUDENT_1589,2711,1,6,1,1,2,1,2,2,2,1,301,49,48,70,58,75
STUDENT_1594,2711,1,6,1,1,2,1,3,2,2,1,262,53,53,56,58,42
STUDENT_1595,2711,1,6,1,1,1,1,2,2,2,1,243,50,47,48,60,37
STUDENT_1598,2711,1,6,1,1,2,1,1,2,2,5,287,52,58,58,58,61
STUDENT_1620,2710,2,7,7,1,2,1,1,2,2,1,255,49,52,55,57,42
STUDENT_1625,2710,2,7,7,1,2,1,1,2,2,2,252,46,43,49,65,50
STUDENT_1628,2710,2,7,7,1,1,1,1,1,1,1,279,55,48,55,62,59
STUDENT_1640,2710,2,7,7,1,1,1,1,3,3,2,237,50,49,45,50,43
STUDENT_1643,2710,2,7,7,1,2,1,1,3,3,1,287,57,59,53,50,68
STUDENT_1648,2710,2,7,7,1,2,1,1,4,4,2,223,45,48,51,46,33
STUDENT_1746,2710,2,7,5,1,3,1,1,2,2,2,277,60,47,60,55,55
STUDENT_1750,2710,2,7,5,1,1,1,1,2,2,4,298,57,59,64,69,48
STUDENT_1773,2710,2,7,5,1,3,1,2,2,2,2,242,56,46,49,41,50
STUDENT_1873,2710,1,6,2,1,2,1,2,2,2,2,236,48,53,60,44,31
