IDX_STUDENT,COD_PROGRAMA,JORNADA,DURACION,PERIODO_INGRESO,ESTADO_CIVIL,ESTRATO,CONDICION_EXCEPCION,TIPO_COLEGIO,RANGO_INGRESOS,RANGO_GASTOS,TIPO_VIVIENDA,PUNTAJE_ICFES,PCN,PLC,PMA,PSC,PIN
STUDENT_1093,2708.6768,0.5172989,7.4118075,10.488669,-1.3913864,2.3083003,-0.63533103,0.9558751,1.0691423,0.665501,-0.56769705,262.82385,53.23777,52.25979,54.69836,55.439648,47.582363
STUDENT_628,2129.505,0.2015602,6.8088775,11.096793,-0.33555445,2.1016123,-0.07536397,1.2701908,0.8080873,1.3235515,-0.19350578,290.8976,59.069862,56.260815,59.829754,60.300182,55.862713
STUDENT_1267,2130.2246,-0.0048530735,6.794782,12.610724,-0.72129667,2.00433,-0.18507466,1.3372761,0.6628389,1.2962383,-0.20266105,305.49292,61.834724,58.851612,62.144764,63.296314,59.770947
STUDENT_288,2720.2664,1.2033874,9.174881,11.139487,-1.1955703,3.0685084,0.891883,-1.5138515,1.238553,0.2413677,-3.8394713,176.02469,38.86544,37.565998,39.264286,28.499708,30.658598
STUDENT_437,2708.2148,0.4795944,7.4405303,10.42652,-1.4331497,2.3133738,-0.62295616,1.007877,1.0715456,0.66614187,-0.58135366,263.07452,53.295082,52.27592,54.777958,55.51373,47.640392
STUDENT_806,2129.4065,0.38370055,6.3861003,8.917899,-0.77395475,1.9017144,-0.24528584,0.94934434,1.101697,0.92447317,-0.17562248,248.55309,50.383728,48.528336,51.572666,51.70194,46.200375
STUDENT_553,2708.1445,0.50351256,7.4262137,10.238395,-1.2169174,2.1228983,-0.61002433,1.1256138,0.93771833,0.745396,-0.56058645,253.51923,51.380806,50.533512,52.83797,53.54072,45.640835
STUDENT_1063,2707.6606,0.53406066,7.4034743,10.430793,-1.3339981,2.286259,-0.5856255,0.91583604,1.0924425,0.6753887,-0.574594,262.1097,53.10224,52.095516,54.637066,55.23933,47.3728
STUDENT_1740,2707.0828,0.40529174,7.410362,9.75344,-1.0238785,1.8919183,-0.19768605,1.166309,0.20779127,0.6087688,-0.6573119,222.33632,45.506523,45.22253,46.672123,45.826885,39.18188
STUDENT_1638,2707.2449,0.44148558,7.5355716,10.602874,-1.3851608,2.3733408,-0.6227807,1.0985142,1.0931444,0.7686199,-0.47432852,270.36444,54.715034,53.52573,56.338627,56.968258,49.148464
STUDENT_1252,2707.66,0.5139267,7.4205585,10.423438,-1.3854965,2.293873,-0.6111077,0.961826,1.0761309,0.685429,-0.581552,262.11636,53.107674,52.100254,54.60287,55.289837,47.41882
