IDX_STUDENT,Reconstruction error
STUDENT_1093,0.0025828104
STUDENT_628,0.0019397986
STUDENT_1267,0.0033419007
STUDENT_288,0.015643168
STUDENT_437,0.0023683407
STUDENT_806,0.001300864
STUDENT_553,0.0062698843
STUDENT_1063,0.0021365618
STUDENT_1740,0.00072749285
STUDENT_1638,0.0030023505
STUDENT_1252,0.0008074579
STUDENT_1389,0.021194864
STUDENT_778,0.002415898
STUDENT_206,0.0032463132
STUDENT_851,0.0033800018
STUDENT_1370,0.0015873114
STUDENT_1358,0.0014350472
STUDENT_1665,0.0006902369
STUDENT_84,0.0022254628
STUDENT_1603,0.0055225478
STUDENT_1736,0.0027622774
STUDENT_1345,0.0043195193
STUDENT_421,0.002440783
STUDENT_1686,0.0015666648
STUDENT_630,0.0022738383
STUDENT_1266,0.005589848
STUDENT_988,0.0062811105
STUDENT_485,0.004880619
STUDENT_559,0.014647659
STUDENT_918,0.0019936832
STUDENT_707,0.016772155
STUDENT_132,0.0034650534
STUDENT_373,0.0016585645
STUDENT_1634,0.0032775255
STUDENT_417,0.0016667019
STUDENT_1326,0.0030521648
STUDENT_969,0.0009583236
STUDENT_741,0.0020852957
STUDENT_41,0.005428925
STUDENT_443,0.0042302217
STUDENT_439,0.0012992912
STUDENT_1734,0.002255994
STUDENT_518,0.0011126008
STUDENT_78,0.017840179
STUDENT_436,0.0023206044
STUDENT_1163,0.0014022086
STUDENT_1418,0.0032403443
STUDENT_1533,0.002965295
STUDENT_1169,0.0026155375
STUDENT_1580,0.00279357
STUDENT_1813,0.0012108395
STUDENT_577,0.0015677956
STUDENT_702,0.0073881256
STUDENT_1722,0.042199165
STUDENT_316,0.0013534378
STUDENT_1452,0.002789118
STUDENT_579,0.0045703473
STUDENT_374,0.0055385833
STUDENT_1354,0.0018564857
STUDENT_404,0.0037002072
STUDENT_891,0.009014818
STUDENT_1311,0.0012098697
STUDENT_1280,0.005686712
STUDENT_33,0.0067435945
STUDENT_1168,0.005105632
STUDENT_833,0.0012983835
STUDENT_1372,0.015966877
STUDENT_1621,0.0010554616
STUDENT_1887,0.0018555443
STUDENT_1393,0.0014466549
STUDENT_230,0.0033138352
STUDENT_608,0.0065620993
STUDENT_661,0.007223545
STUDENT_265,0.005213861
STUDENT_438,0.0018227587
STUDENT_1941,0.009697181
STUDENT_650,0.0027654222
STUDENT_461,0.00096216897
STUDENT_639,0.0068977647
STUDENT_889,0.0013439577
STUDENT_355,0.0029711784
STUDENT_1893,0.010214634
STUDENT_1581,0.0042420723
STUDENT_354,0.0005051154
STUDENT_1647,0.0034490686
STUDENT_1226,0.006603518
STUDENT_1848,0.0018266856
STUDENT_1245,0.013333531
STUDENT_799,0.00088900456
STUDENT_857,0.0011765498
STUDENT_1296,0.010843262
STUDENT_1889,0.002694684
STUDENT_128,0.004164081
STUDENT_126,0.008674519
STUDENT_152,0.0010789926
STUDENT_664,0.0029421994
STUDENT_347,0.0017387362
STUDENT_580,0.002479854
STUDENT_824,0.0076288134
STUDENT_1215,0.0023027202
STUDENT_761,0.0025071232
STUDENT_1894,0.0029497729
STUDENT_849,0.0019922506
STUDENT_676,0.0027725603
STUDENT_1495,0.0013989828
STUDENT_1641,0.0035282231
STUDENT_1836,0.0028088563
STUDENT_487,0.0038720176
STUDENT_558,0.0011825272
STUDENT_502,0.00073552225
STUDENT_854,0.0057157166
STUDENT_614,0.007638981
STUDENT_1305,0.011417845
STUDENT_1875,0.0037709794
STUDENT_599,0.0021755209
STUDENT_1544,0.0055314573
STUDENT_272,0.0027115967
STUDENT_1885,0.0022258488
STUDENT_1771,0.0028850792
STUDENT_1661,0.0037863215
STUDENT_1064,0.0017415228
STUDENT_1340,0.0020581898
STUDENT_434,0.0017195692
STUDENT_843,0.0021417218
STUDENT_713,0.00046972185
STUDENT_1918,0.0020053287
STUDENT_1484,0.0017944934
STUDENT_1531,0.0027165245
STUDENT_62,0.006109235
STUDENT_1825,0.0030186295
STUDENT_1908,0.0013619055
STUDENT_715,0.0058444645
STUDENT_839,0.0035613736
STUDENT_293,0.0015184592
STUDENT_255,0.00044836735
STUDENT_445,0.005677336
STUDENT_1917,0.0098023
STUDENT_1870,0.002901316
STUDENT_94,0.0025363737
STUDENT_1927,0.0011129208
STUDENT_406,0.005487536
STUDENT_87,0.0016723119
STUDENT_83,0.0021386303
STUDENT_506,0.0013881485
STUDENT_567,0.0036932628
STUDENT_1104,0.006691238
STUDENT_1831,0.0020566634
STUDENT_586,0.002234793
STUDENT_450,0.001933725
STUDENT_1684,0.0024044148
STUDENT_221,0.001248372
STUDENT_1627,0.0020435185
STUDENT_397,0.0020237828
STUDENT_92,0.003400386
STUDENT_1655,0.0010560777
STUDENT_1928,0.0015850803
STUDENT_269,0.0020131262
STUDENT_1344,0.0034555509
STUDENT_1693,0.0021319634
STUDENT_777,0.0043589696
STUDENT_1493,0.0016259947
STUDENT_1088,0.004271848
STUDENT_1834,0.0015612534
STUDENT_43,0.0051126084
STUDENT_1259,0.051523663
STUDENT_190,0.00063002994
STUDENT_228,0.0021809852
STUDENT_641,0.0024822422
STUDENT_1100,0.015471486
STUDENT_1752,0.0067555346
STUDENT_116,0.001501182
STUDENT_362,0.0025097453
STUDENT_257,0.0008570352
STUDENT_1223,0.0022915064
STUDENT_1618,0.00079351926
STUDENT_1518,0.004075394
STUDENT_185,0.00036175177
STUDENT_1487,0.005452009
STUDENT_8,0.0052258787
STUDENT_25,0.008932336
STUDENT_29,0.0018161718
STUDENT_32,0.0042238096
STUDENT_34,0.0039490946
STUDENT_42,0.004971971
STUDENT_82,0.0037525555
STUDENT_89,0.002609509
STUDENT_90,0.0024373606
STUDENT_99,0.011385371
STUDENT_195,0.0032153325
STUDENT_300,0.010732367
STUDENT_318,0.0026503657
STUDENT_321,0.0038830326
STUDENT_322,0.0014289339
STUDENT_332,0.0023171396
STUDENT_556,0.0054873205
STUDENT_575,0.002540994
STUDENT_589,0.0027565195
STUDENT_590,0.0030887332
STUDENT_591,0.0053930036
STUDENT_593,0.0030090848
STUDENT_600,0.006082475
STUDENT_601,0.005638346
STUDENT_602,0.0030979528
STUDENT_651,0.0050937347
STUDENT_791,0.0032313569
STUDENT_813,0.0052551725
STUDENT_814,0.003410661
STUDENT_815,0.010811967
STUDENT_818,0.0021150755
STUDENT_826,0.0015450087
STUDENT_827,0.0011013167
STUDENT_866,0.00091717154
STUDENT_869,0.0026251765
STUDENT_872,0.007613084
STUDENT_886,0.0050702207
STUDENT_895,0.0007772823
STUDENT_898,0.0037585453
STUDENT_900,0.0008234666
STUDENT_901,0.002477711
STUDENT_903,0.0017558157
STUDENT_904,0.0027560296
STUDENT_909,0.0020517802
STUDENT_910,0.004390838
STUDENT_912,0.004076108
STUDENT_913,0.0016708041
STUDENT_914,0.002033418
STUDENT_915,0.0041121724
STUDENT_921,0.0025574074
STUDENT_935,0.002577845
STUDENT_958,0.0111102145
STUDENT_979,0.0040519326
STUDENT_982,0.0021356419
STUDENT_983,0.0032255999
STUDENT_992,0.0011116005
STUDENT_993,0.008269096
STUDENT_1013,0.013797264
STUDENT_1015,0.0014757598
STUDENT_1017,0.0071868724
STUDENT_1022,0.0078001986
STUDENT_1023,0.00382536
STUDENT_1024,0.0015776376
STUDENT_1026,0.0024572632
STUDENT_1027,0.0025570984
STUDENT_1028,0.0053058905
STUDENT_1029,0.0037474812
STUDENT_1030,0.0072436384
STUDENT_1032,0.0015660005
STUDENT_1033,0.0033467924
STUDENT_1034,0.003084392
STUDENT_1035,0.001163685
STUDENT_1036,0.0109464945
STUDENT_1037,0.0021427972
