IDX_STUDENT,COD_PROGRAMA,JORNADA,DURACION,PERIODO_INGRESO,ESTADO_CIVIL,ESTRATO,CONDICION_EXCEPCION,TIPO_COLEGIO,RANGO_INGRESOS,RANGO_GASTOS,TIPO_VIVIENDA,PUNTAJE_ICFES,PCN,PLC,PMA,PSC,PIN
STUDENT_1093,2714.7893,1.3363506,7.061851,9.885727,1.599123,2.366162,0.3482958,1.4080546,2.9668965,2.1977296,3.8633335,258.8367,51.73128,55.4107,56.334057,53.379166,47.653965
STUDENT_628,2133.067,0.5010234,6.1438823,9.841652,1.5712166,2.3587615,0.9780718,1.485676,2.64811,1.8154932,4.0266633,286.4799,57.066387,59.01735,61.161316,58.141083,54.62338
STUDENT_1267,2133.672,0.44586292,6.284675,10.728104,1.9351807,2.3051422,1.5441424,1.6831095,2.931313,1.9856707,3.694846,301.94202,60.12618,62.01338,63.49877,61.102844,58.120785
STUDENT_288,2720.4553,1.182603,5.474113,13.13483,-1.0396633,-0.23640753,0.24316275,3.9454691,-0.5932537,-1.1137251,2.423087,169.45958,35.418568,44.545605,42.186596,21.439056,20.557531
STUDENT_437,2713.603,1.3110362,6.9947505,9.815075,1.5218887,2.4151886,0.35490286,1.437504,2.9343038,2.3256288,3.8067844,257.44055,51.453236,55.20904,56.13914,53.02527,47.387356
STUDENT_806,2134.789,0.9647075,6.1724315,8.809879,1.1967945,1.9069641,0.27833426,1.066273,2.4429708,1.5569979,3.666251,244.7385,48.838993,51.18353,53.15768,49.801285,45.787163
STUDENT_553,2713.7231,1.1942912,7.155952,9.534111,1.7548943,2.3685424,0.45243704,1.4002421,3.0439534,1.9891497,3.9149387,247.64478,49.67577,53.32494,54.13693,50.885612,45.27332
STUDENT_1063,2714.2427,1.318391,7.126655,9.812675,1.6400223,2.403485,0.36805594,1.3843119,2.9973836,2.0927033,3.8567722,257.01263,51.45319,55.01913,55.980053,53.06417,47.304607
STUDENT_1740,2714.142,1.2828075,7.3393855,8.390057,2.0267715,2.1721618,0.9668261,0.99564004,2.7155538,1.605559,3.86431,218.1923,44.908283,48.17731,48.69341,42.88656,38.798855
STUDENT_1638,2712.3398,1.4559184,7.1353984,10.075573,1.573864,2.3634918,0.38238394,1.4548991,2.9701009,2.3020997,3.9114902,262.48392,52.48839,56.107243,57.21141,53.99285,48.40411
STUDENT_1252,2713.377,1.3051006,7.0526195,9.807457,1.5776978,2.4032714,0.3752123,1.4193766,2.9497762,2.2243714,3.826804,257.0552,51.42377,55.072216,56.012417,52.986954,47.294537
STUDENT_1389,2715.3745,1.1298686,7.2924266,8.237118,2.0095825,2.0700958,0.97976553,0.8444865,2.4256368,1.5296618,3.9725254,212.32184,44.00394,47.471004,47.78833,41.02088,37.30335
STUDENT_778,2714.2212,1.4367534,7.1718516,10.44751,1.4976387,2.256253,0.3130175,1.3883708,2.8482442,2.120543,4.0269074,272.75458,54.476963,58.06148,59.442608,56.062103,50.47143
STUDENT_206,2134.7446,1.0965129,6.1012874,8.721672,1.2502689,1.8037078,0.2760607,1.068989,2.3487935,1.4525439,3.5588596,234.1041,46.73866,49.228786,50.9106,47.8347,43.599277
STUDENT_851,2132.7998,0.9687816,6.1145854,8.726128,1.1317177,1.8658111,0.3013903,1.1437571,2.2935567,1.4865633,3.5486667,235.37402,47.0818,49.3885,51.24761,47.959824,43.78952
STUDENT_1370,2714.7754,0.994279,7.199455,8.310726,1.966465,2.0542877,0.98197806,0.8535197,2.2872396,1.421187,3.9816196,208.45679,43.327198,47.19791,47.19459,39.676132,36.18706
STUDENT_1358,2713.2383,1.1364757,7.2219996,9.413353,1.7762012,2.3668945,0.5012804,1.3596842,2.997048,1.9052798,3.939017,244.6658,49.156803,52.7646,53.555065,50.164276,44.58237
STUDENT_1665,2712.5732,1.149705,7.155433,9.381729,1.7347221,2.361737,0.48960745,1.3277628,2.9708638,1.9503695,3.8846653,243.23227,48.879032,52.57906,53.319016,49.775307,44.30911
STUDENT_84,2134.449,0.8026897,6.19194,9.062298,1.2799263,2.0758026,0.35665762,1.0994761,2.6331258,1.4697291,3.7471836,258.97357,51.735714,53.77328,56.16266,52.559654,48.797596
STUDENT_1603,2715.6255,1.310197,7.2705226,8.2815895,2.0431595,2.0872924,1.013228,0.8615763,2.6014485,1.7513567,3.8573215,214.9989,44.322987,47.896496,48.216248,41.87094,38.025524
STUDENT_1736,2713.0227,0.95472825,7.3540645,8.25288,2.0298462,2.0733917,0.97268546,0.90744424,2.361031,1.2670275,4.076712,211.12343,43.942616,47.18085,47.60006,40.66089,36.882908
STUDENT_1345,2714.597,0.5965129,6.954971,9.0372505,1.850071,1.9473541,0.7008349,1.1665995,1.8877034,0.45918903,4.142752,196.64873,41.20029,46.466885,45.302174,35.493507,32.516315
STUDENT_421,2712.6396,1.1319286,7.1776576,9.365749,1.7269459,2.3671997,0.52848685,1.3415568,2.9475484,1.9273058,3.865073,243.02823,48.884113,52.507816,53.30101,49.741226,44.249348
STUDENT_1686,2714.5425,1.0164195,7.2083125,8.315365,1.9903908,2.0504272,0.9551531,0.856724,2.2885518,1.3801485,4.0072846,208.62386,43.36922,47.191296,47.202724,39.76837,36.26366
STUDENT_630,2133.4502,0.9691478,6.1218333,8.7429695,1.1189651,1.8813751,0.30789053,1.116276,2.3079305,1.5148989,3.5412815,237.65897,47.525883,49.830738,51.721256,48.417778,44.28137
STUDENT_1266,2131.894,1.0565044,5.8349605,8.5815735,1.1444168,1.7551544,0.28132498,1.1839793,2.2724385,1.6814104,3.4120395,225.70564,45.079113,47.719227,49.176266,46.124306,41.820618
STUDENT_988,2715.1143,1.2733165,7.6072764,11.119656,1.3942146,2.360379,0.29086173,1.4554789,2.9038167,2.015967,4.4230866,300.1667,59.994038,63.07252,65.3613,61.172974,56.01524
STUDENT_485,2711.121,1.3491374,7.1268077,9.866318,1.5979881,2.394879,0.4205767,1.4537394,3.014687,2.296637,3.8599765,257.79498,51.60158,55.15511,56.171474,53.080383,47.412678
STUDENT_559,2132.84,0.56832993,6.1731334,9.44759,1.4432278,2.3223999,0.70773184,1.377598,2.6244588,1.6537043,3.981589,278.75745,55.65688,57.38535,60.06805,56.636963,53.006336
STUDENT_918,2131.9685,0.7697612,6.294578,8.9664345,1.2088566,2.07182,0.43424857,1.0912821,2.5479512,1.4964663,3.7372043,255.88022,51.159824,53.10758,55.520607,51.88646,48.02698
STUDENT_707,2841.5747,1.3235179,7.407554,10.190998,1.7062607,2.5138824,0.41351187,1.5091288,3.1321797,2.2486787,4.0293794,265.9297,53.250248,57.063183,58.03549,54.77025,48.842808
STUDENT_132,2134.6016,0.6993724,6.1006083,9.196346,1.2575722,2.1731842,0.4270922,1.2232401,2.6454854,1.5501047,3.771445,267.27643,53.417774,55.340256,57.97286,54.161392,50.553005
STUDENT_373,2715.0088,1.2583019,7.1196895,9.670521,1.6798325,2.4081237,0.39781058,1.3959391,2.997933,2.0453553,3.868552,252.44547,50.60689,54.20284,55.100014,51.990868,46.342426
STUDENT_1634,2711.436,1.3734599,7.6116557,10.966774,1.4753742,2.2649963,0.3811022,1.4299052,2.9106221,1.9719378,4.3772798,292.0521,58.379246,61.534557,63.606792,59.642975,54.25018
STUDENT_417,2713.0767,1.2034007,7.1275554,9.574146,1.6989365,2.4072387,0.42323172,1.4180338,2.994515,2.024939,3.8962314,249.17282,50.011967,53.60037,54.47584,51.1819,45.62636
STUDENT_1326,2714.115,1.143922,7.242805,8.795254,1.808506,2.2666595,0.7896868,1.0807536,2.860146,1.74639,3.811423,229.40553,46.591587,50.152172,50.7295,46.099854,41.25247
STUDENT_969,2724.816,1.1483012,7.1634974,9.53017,1.6883068,2.4119384,0.47309744,1.4247477,2.951241,2.0351014,3.9078586,247.96738,49.796436,53.412174,54.25944,50.834717,45.285442
STUDENT_741,2132.621,0.7355205,6.312835,9.122089,1.2882767,2.1170318,0.51019156,1.0690348,2.6402059,1.4684626,3.789603,262.28177,52.42716,54.312572,56.821667,53.147125,49.35847
STUDENT_41,2843.1416,1.324174,7.657783,8.765575,2.1471806,2.277066,0.97834647,1.043217,2.774819,1.6491305,4.086722,226.3975,46.76845,50.11452,50.643787,44.229095,40.181477
STUDENT_443,2712.3896,1.3950206,7.160362,10.240738,1.5195103,2.3236969,0.34608328,1.4623454,2.9023519,2.2066026,3.9819553,266.53375,53.31397,56.836338,58.114883,54.750244,49.18767
STUDENT_439,2132.8486,1.0637065,5.8544536,8.57716,1.1449585,1.7834442,0.2630602,1.1322367,2.2539449,1.596255,3.3897007,226.72087,45.28455,47.918476,49.43309,46.380836,42.091984
STUDENT_1734,2714.114,1.1481944,7.195167,9.25473,1.7589417,2.35484,0.56062186,1.2424357,2.9577107,1.7962252,3.8139255,239.25497,48.240772,51.856243,52.577827,48.847885,43.478176
STUDENT_518,2715.1794,1.1819774,7.1288524,9.403347,1.7162514,2.3861663,0.48252738,1.3503764,2.9583821,1.9617678,3.8484714,243.75604,48.990772,52.681713,53.441364,49.91446,44.464474
STUDENT_78,2135.92,0.47335926,6.352981,10.877556,2.0213356,2.3896759,1.6388232,1.5954325,2.945931,1.9195048,3.544089,303.46378,60.516605,62.2258,63.765152,61.541916,58.654964
STUDENT_436,2132.7249,0.6896373,6.2717433,9.193203,1.2821388,2.200772,0.52955496,1.1588328,2.6502156,1.4974314,3.8018405,266.39774,53.291264,55.056293,57.736347,53.98108,50.281406
STUDENT_1163,2713.7876,1.346635,7.209869,10.0456085,1.6306324,2.3160522,0.38593924,1.4072306,2.957253,2.083449,3.9717014,262.37332,52.467426,55.99818,57.10507,54.07144,48.297962
STUDENT_1418,2713.5898,1.1163188,7.2740245,8.905323,1.8097496,2.2942016,0.7145678,1.1210978,2.9202962,1.668326,3.8275974,231.70872,47.023823,50.479397,51.131935,46.78746,41.774754
STUDENT_1533,2714.8547,1.4448711,7.1038203,9.96759,1.6030159,2.3773925,0.35279715,1.3981669,3.0020223,2.2254395,3.8571384,260.53113,52.08817,55.765957,56.774517,53.72773,48.064053
STUDENT_1169,2712.8984,1.4270183,7.6385417,10.941864,1.5389824,2.203366,0.3944689,1.3378031,2.8856587,1.8877703,4.3790193,292.15488,58.335743,61.592503,63.56648,59.74492,54.261463
STUDENT_1580,2714.9585,1.1959087,7.39125,8.498074,2.014904,2.16911,0.953673,1.0052226,2.8389058,1.569266,3.8813083,222.89362,45.571217,48.90967,49.439022,44.31939,39.765606
STUDENT_1813,2714.0618,1.1641399,7.1706157,9.351391,1.7507019,2.3913848,0.48605216,1.3009074,2.9801412,1.8477007,3.8536594,242.03448,48.718204,52.348248,53.111954,49.54619,44.126553
STUDENT_577,2724.7363,1.4252483,7.3530345,10.628155,1.5279922,2.2151763,0.37557852,1.3959391,2.845162,2.0333543,4.144919,277.3126,55.404423,58.86462,60.411793,56.954453,51.258778
STUDENT_702,2722.3267,1.396104,7.4673686,10.825504,1.524868,2.2114685,0.36320364,1.3571208,2.819283,1.8631884,4.2605195,282.78027,56.51746,59.887928,61.654285,58.03196,52.34019
STUDENT_1722,2715.0166,1.5556804,7.226478,10.814968,1.481823,2.235318,0.27030814,1.3868144,2.8875813,2.1681733,4.152518,281.2791,56.11588,59.76356,61.331562,57.716743,52.266598
STUDENT_316,2134.141,0.92303574,6.3151546,8.866978,1.2587128,1.9686096,0.374663,0.97423196,2.4907613,1.4601732,3.7196262,249.75223,49.84226,52.041004,54.180035,50.81053,46.796886
STUDENT_1452,2713.1548,1.1487437,7.1565394,9.300232,1.7180252,2.3842742,0.53414786,1.2842448,2.929421,1.9295794,3.8150241,240.59097,48.484394,52.11768,52.871223,49.102203,43.77187
