IDX_STUDENT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
STUDENT_1093,-0.2294852,0.41076103,-0.45697615,0.5241881,0.5531775,0.17926076,-0.29523656,-0.7123909,0.43821767,0.19472799,0.0046935473,0.029975168,-0.3068315,0.46033162,0.28727672,0.98744667,0.03613294,0.41936523,-0.38919932,0.26112026
STUDENT_628,-2.209616,0.4997035,-0.018235536,1.3810768,0.3920021,-0.03175008,-0.628501,0.9244219,0.11431719,0.37655872,-0.33536586,0.21532905,-0.9210717,0.46101552,-0.44546872,0.29577065,-0.8433043,0.12717691,-0.21730605,-0.13910042
STUDENT_1267,-1.0559435,0.012256008,-0.038593322,1.3763138,0.32129875,0.25231054,-0.41296673,-0.41462812,-0.037579283,0.55266196,-0.4889768,0.34219578,1.0763081,-0.5645559,-0.7747611,0.87888277,-0.24107723,1.9013536,0.30918428,0.4618299
STUDENT_288,1.1753714,0.023466136,-1.7622952,1.1008794,1.5463128,2.2368743,0.6294618,3.7282789,-0.32083598,-3.068176,-0.4439154,-1.0104778,0.7748041,0.23126824,-1.7965547,-1.6228411,2.101589,1.3760575,-0.8832098,-2.203244
STUDENT_437,-1.0032852,0.7393616,0.045966424,0.2907844,1.2965374,0.7053086,0.23084232,0.6255055,0.5933667,-0.32133576,-0.32427222,-0.29531768,-0.5725858,-0.28505942,0.1423338,-0.761063,0.3384571,1.5778089,0.25868803,1.0394733
STUDENT_806,-1.1423438,0.51273584,0.099205054,0.09061,-0.455277,0.124200284,0.32770357,-0.62364805,0.049662933,0.015831348,-0.52893645,0.79512304,-0.73709023,-0.061648797,0.30435276,-0.0042327605,0.96791655,0.4696327,0.6150492,-0.10806371
STUDENT_553,2.2235544,-0.4755791,-1.1050162,0.32402268,0.11935124,-0.30620456,-1.0338395,-1.4497784,-1.0809104,-1.5862262,-0.5060894,1.588886,2.8619137,-0.23481712,-0.6191798,-0.7205492,1.3057873,2.338897,-0.53490114,-0.15623553
STUDENT_1063,0.37468505,0.068562984,-0.13342941,-0.0572417,1.0207015,0.0588882,0.18180156,-0.26116237,0.27613276,0.04256137,-0.5569127,0.32789275,0.10450271,0.8293402,-0.58460444,-0.11237112,0.010370027,-0.8187016,-0.45652735,1.0507154
STUDENT_1740,0.3644588,0.45922893,-0.29206133,-0.22962625,0.34357077,0.72117925,0.8897645,-0.25330263,0.2850429,-0.56618094,-0.33388755,0.17375018,-0.35427305,0.3120924,0.46092874,0.031162787,1.3542665,-0.41898185,0.47502917,0.470598
STUDENT_1638,-0.2329181,-0.28696284,0.87759906,-0.5235843,-0.19560808,-0.40897042,0.00090781506,0.8684398,0.28473455,0.3009192,-0.45562807,-0.66238624,1.1930245,-0.16669713,0.2286427,-0.118444994,-0.29547998,-0.38746583,1.2278403,1.356792
STUDENT_1252,-0.45164222,0.63932467,-0.30122733,0.48424682,0.08677201,0.34477705,-0.44956326,0.36925516,0.27565065,0.17290284,0.22151452,0.1552659,-0.02967159,0.35601777,0.39612657,0.768188,-0.18292545,0.38673604,-0.3944306,0.21921985
STUDENT_1389,0.21888706,1.6616106,0.67541915,-0.43331373,0.22769205,0.8652402,-0.85502815,0.30957118,-1.3825253,0.47119808,0.10714622,-0.37624404,-0.12597883,0.96560735,1.1404848,0.31682274,1.8577437,-0.5122243,0.101677395,-1.1042172
STUDENT_778,-0.46887118,0.5793214,-0.658177,0.92575884,0.98920226,0.032567654,0.4285239,-0.74826145,0.14083421,0.58074224,0.23279302,-0.03703647,-0.36976576,0.10230736,0.62296164,0.9671364,-0.25577328,1.1737081,-0.03175675,0.5662455
STUDENT_206,-0.49753797,-0.4871399,-0.22698885,-0.6173171,-0.39677522,-1.5577365,-0.55243397,-0.6626492,-1.0587045,-0.51623285,-0.26512715,0.8980168,-1.072771,-0.22011892,-0.3190483,-1.0332919,-0.026884697,-1.7335051,0.80292404,-0.39512736
STUDENT_851,-1.2727296,0.24565485,0.24396399,0.002820866,-0.64555943,0.74930894,0.11728782,0.7202343,0.1345127,-0.314396,-0.086599365,0.049512185,-0.37515396,0.65409833,0.012314961,-0.019113254,-0.1696959,-1.097529,0.4152146,-1.1158428
STUDENT_1370,0.7501593,-0.68761903,-0.1957304,-0.5404442,-0.22166833,0.4501798,-0.0036720121,-0.43281993,0.35137808,-0.58763456,-0.23183559,-0.3258436,-0.9871617,-0.39581323,-0.015651193,-0.13690184,1.4208761,-0.08374855,0.687126,-0.94920903
STUDENT_1358,-0.005269428,0.45875436,-0.042821363,0.25060776,0.35513067,1.0312892,0.25236824,1.1445369,0.28392243,-0.2210786,-0.3039947,0.10243058,0.28777325,0.59044576,-0.3061313,-0.1906615,0.47566724,-0.11629026,-0.31827378,0.67928845
STUDENT_1665,-0.022544911,-0.21117201,-0.026668841,-0.12742558,0.9019981,-0.58012795,0.7827974,0.02812742,0.5105159,-0.37854925,-0.9950734,-0.4431507,-0.5391377,0.13861068,-0.17925662,-0.54651797,1.1475261,0.2393836,0.14314863,0.78246635
STUDENT_84,-1.2984686,0.59049344,-0.25017893,-0.057413325,-0.25415567,-0.81129307,0.80461776,-0.6912632,-0.14738469,-0.07814131,-0.3983281,0.45242321,-0.027511667,0.26340985,0.30041343,-0.7105398,-0.026867114,-0.06683643,0.27973497,-0.18879528
