features,pvalue,effect_size
COD_PROGRAMA,0.39645112519148895,-0.05261070720423001
JORNADA,0.0032771678257252986,0.18235294117647058
DURACION,1.9076463838731386e-11,0.41625908790482485
PERIODO_INGRESO,0.9740637703064883,-0.002048909451421018
ESTADO_CIVIL,0.14878081849552782,0.08955717118307997
ESTRATO,0.020510399870049444,0.14368803701255783
CONDICION_EXCEPCION,0.8137596772708008,-0.01463978849966953
TIPO_COLEGIO,0.6363871072593998,0.02934567085261071
RANGO_INGRESOS,9.149838906112431e-05,0.24259748843357568
RANGO_GASTOS,0.16696395707985578,-0.08572372769332452
TIPO_VIVIENDA,0.002587185070758779,0.1868473231989425
PUNTAJE_ICFES,0.0018576857239309167,0.19299405155320556
PCN,0.9800149171750558,-0.0015862524785194977
PLC,0.10830068955505309,0.09960343688037013
PMA,0.5001691407459676,-0.041837409120951755
PSC,0.7649373533538775,-0.018572372769332452
PIN,0.09244718606052518,-0.10436219431592862
