IDX_STUDENT,COD_PROGRAMA,JORNADA,DURACION,PERIODO_INGRESO,ESTADO_CIVIL,ESTRATO,CONDICION_EXCEPCION,TIPO_COLEGIO,RANGO_INGRESOS,RANGO_GASTOS,TIPO_VIVIENDA,PUNTAJE_ICFES,PCN,PLC,PMA,PSC,PIN
STUDENT_1093,2653.8545,0.55623007,5.850678,6.7889886,-0.019032028,2.941247,1.3507694,-0.66952324,2.9970367,1.7821484,2.4627197,251.25475,53.60781,51.079685,49.745552,48.274532,49.505054
STUDENT_628,2084.9456,0.74850607,5.858109,7.5255303,0.8656268,2.8905725,1.3280643,-0.31775478,2.6649826,2.0618114,2.4425323,281.61285,58.23893,54.35471,55.753662,55.97233,58.4323
STUDENT_1267,2086.7607,0.45388937,6.177979,8.154673,1.6544375,2.8502588,1.5947117,0.24598119,2.5363472,2.5775738,2.6378143,295.47446,61.384315,57.086468,58.298134,59.289055,62.07053
STUDENT_288,2658.045,2.3914351,6.299546,5.2037683,0.20827052,1.6517115,0.88572353,-2.1528378,2.082608,0.67509276,1.09393,166.34619,39.032433,37.876484,35.34031,27.806126,29.056522
STUDENT_437,2652.563,0.71623373,5.8241124,6.6875176,-0.033772018,3.1363,1.6519779,-1.1009274,3.0461967,1.5977154,2.329068,250.86009,53.30471,51.247875,49.841774,48.0946,49.475132
STUDENT_806,2087.9956,0.42808676,4.9427953,6.1293893,-0.19296315,2.6316767,1.0658878,-0.7729473,2.6007888,1.3796825,2.0638778,238.40039,49.579063,47.230534,47.143715,46.698208,48.529743
STUDENT_553,2649.227,0.683763,5.823197,6.4374566,0.09150264,2.9481134,1.5757297,-0.8875027,2.9144065,1.6362896,2.3110626,240.07227,51.359688,49.244465,47.532936,45.754307,47.113163
STUDENT_1063,2652.1633,0.64302206,5.8748326,6.7288384,0.023631547,2.891305,1.3729709,-0.7429943,3.0194328,1.7701397,2.378842,249.00331,53.100044,50.601505,49.254997,47.706615,48.99741
STUDENT_1740,2653.1553,1.0641952,5.70279,5.775103,0.28458735,2.6359644,1.5412678,-0.97659874,2.5842025,1.5017681,2.1653106,209.06578,45.612602,44.1757,41.549835,38.711082,39.85552
STUDENT_1638,2657.6807,0.5719466,6.0011907,6.7447076,0.07343623,3.2249994,1.664368,-0.90309715,3.010125,1.6122112,2.3325775,258.31628,54.55314,52.54729,51.18818,49.766346,51.39847
STUDENT_1252,2653.436,0.6486678,5.84224,6.758082,0.021914933,2.939416,1.4402775,-0.7418728,3.0132568,1.7305889,2.375531,250.47359,53.381264,50.95148,49.64563,48.076202,49.32651
STUDENT_1389,2654.3481,1.1269698,5.7955785,5.7568,0.27168605,2.4984522,1.4213413,-0.8807888,2.4965103,1.4806347,2.1605499,203.88858,44.735817,43.367558,40.68483,37.47409,38.52979
STUDENT_778,2654.199,0.5387435,5.875794,7.0707498,-0.117916614,3.1283808,1.4424747,-0.86177635,3.1271675,1.7227917,2.4616973,264.5656,55.97985,53.47379,52.467934,51.158485,52.55646
STUDENT_206,2087.5913,0.34848166,4.825623,5.9047265,-0.1598821,2.6973886,1.067551,-0.759161,2.5920646,1.3651867,2.0273712,228.0779,47.66543,45.483677,45.090736,44.50666,46.108135
STUDENT_851,2087.8706,0.52972555,4.9397435,6.0158486,-0.06675008,2.498269,1.0483936,-0.6800213,2.6356704,1.4517574,1.9061096,232.15636,48.513252,45.991764,46.043327,45.33617,46.928684
STUDENT_1370,2655.5227,1.2303023,5.848786,5.7385964,0.26499507,2.5498438,1.5022434,-1.0832958,2.4170463,1.3413525,2.1013458,201.8922,44.360603,43.194607,40.44404,36.920628,38.04938
STUDENT_1358,2652.6104,0.79179525,5.823502,6.369433,0.069865674,2.9784784,1.637215,-1.0065365,2.951783,1.6397991,2.2567108,238.43909,51.04249,48.978428,47.32679,45.364677,46.626957
STUDENT_1665,2652.2004,0.74684286,5.811951,6.2834573,0.06345698,3.064187,1.7657169,-1.1381512,2.9277885,1.5935192,2.226239,236.52275,50.60247,48.75845,46.978325,44.955746,46.229084
STUDENT_84,2089.0042,0.6324935,5.183396,6.419459,-0.20572713,2.4350824,1.146233,-0.97981834,2.7191093,1.5361462,1.9396636,252.8468,52.2575,49.380947,50.00228,49.616894,51.840084
STUDENT_1603,2657.7046,1.1015487,5.7407384,5.67969,0.23923823,2.848672,1.6836094,-1.205534,2.4702156,1.2593975,2.167813,207.08897,45.070488,44.212284,41.30314,38.193306,39.52622
STUDENT_1736,2652.0166,1.318254,5.869324,5.7749505,0.3212466,2.3546076,1.4222873,-1.0209866,2.5839317,1.5663891,2.0249755,203.8327,44.87702,43.122364,40.788437,37.351723,38.35082
STUDENT_1345,2651.1077,1.2898421,6.044419,5.654803,0.19041774,2.1782465,1.0371479,-0.9483471,2.268277,1.277235,2.0931823,190.22609,42.63253,41.29623,38.377342,34.05333,35.113697
STUDENT_421,2651.653,0.7937789,5.789002,6.376681,0.121394604,2.9403772,1.6398243,-0.9158993,2.908715,1.5946484,2.2480743,237.07526,50.75997,48.744152,47.019287,45.099133,46.34023
STUDENT_1686,2655.4814,1.1346297,5.852448,5.787371,0.25684687,2.434884,1.3413166,-0.8312435,2.4085968,1.4411602,2.1892211,201.29224,44.35305,43.00233,40.23075,36.84465,37.85947
