features,pvalue,effect_size
COD_PROGRAMA,3.577905158785319e-08,0.34170522141440846
JORNADA,1.65057976102174e-05,0.26711830799735625
DURACION,6.916364364302181e-06,-0.27881692002643754
PERIODO_INGRESO,1.1437148623482423e-05,0.2721083939193655
ESTADO_CIVIL,0.5940452412927062,0.03307997356245869
ESTRATO,0.006232917601539436,0.1696298744216788
CONDICION_EXCEPCION,0.24635907247518873,0.07191011235955057
TIPO_COLEGIO,0.09203495627570103,-0.10449438202247191
RANGO_INGRESOS,0.0003787497764551382,0.22042300066093853
RANGO_GASTOS,0.015059867481061901,-0.15076007931262392
TIPO_VIVIENDA,0.0046295548394695695,0.17561136814276274
PUNTAJE_ICFES,0.03394370345795268,0.13152676801057503
PCN,0.9528237723842911,0.0037012557832121614
PLC,0.11161979271651869,0.09867812293456708
PMA,0.6999804971782768,-0.023925974884335757
PSC,0.22246549889535427,0.07567746199603437
PIN,0.6756607199819047,-0.025974884335756773
