IDX_STUDENT,Reconstruction error
STUDENT_1093,59.136215
STUDENT_628,36.706627
STUDENT_1267,46.43699
STUDENT_288,246.17175
STUDENT_437,53.84439
STUDENT_806,38.356995
STUDENT_553,61.458275
STUDENT_1063,63.62999
STUDENT_1740,55.726738
STUDENT_1638,86.474335
STUDENT_1252,51.892563
STUDENT_1389,54.40146
STUDENT_778,62.35257
STUDENT_206,42.54128
STUDENT_851,39.05771
STUDENT_1370,55.638927
STUDENT_1358,54.513214
STUDENT_1665,51.377808
STUDENT_84,38.205368
STUDENT_1603,72.56611
STUDENT_1736,74.982445
STUDENT_1345,54.13769
STUDENT_421,57.626133
STUDENT_1686,54.722763
STUDENT_630,35.792942
STUDENT_1266,53.774506
STUDENT_988,74.91145
STUDENT_485,102.26003
STUDENT_559,41.586197
STUDENT_918,51.03193
STUDENT_707,62.958317
STUDENT_132,35.07744
STUDENT_373,56.575428
STUDENT_1634,75.73123
STUDENT_417,57.461926
STUDENT_1326,53.4152
STUDENT_969,53.276432
STUDENT_741,42.263645
STUDENT_41,77.52914
STUDENT_443,72.608185
STUDENT_439,34.600403
STUDENT_1734,57.390915
STUDENT_518,58.69464
STUDENT_78,52.24506
STUDENT_436,43.979794
STUDENT_1163,55.284695
STUDENT_1418,54.009945
STUDENT_1533,68.6123
STUDENT_1169,61.84739
STUDENT_1580,61.892487
STUDENT_1813,58.7105
STUDENT_577,51.55113
STUDENT_702,61.34617
STUDENT_1722,110.23698
STUDENT_316,35.542202
STUDENT_1452,58.172478
STUDENT_579,80.83885
STUDENT_374,60.42864
STUDENT_1354,56.49802
STUDENT_404,71.57314
STUDENT_891,84.96335
STUDENT_1311,33.19064
STUDENT_1280,64.4029
STUDENT_33,48.28081
STUDENT_1168,64.93221
STUDENT_833,35.69277
STUDENT_1372,52.246468
STUDENT_1621,67.19475
STUDENT_1887,59.594257
STUDENT_1393,56.225468
STUDENT_230,55.056583
STUDENT_608,59.88493
STUDENT_661,71.25594
STUDENT_265,39.116577
STUDENT_438,69.19156
STUDENT_1941,70.2195
STUDENT_650,40.53108
STUDENT_461,60.22891
STUDENT_639,63.52531
STUDENT_889,50.55147
STUDENT_355,46.376495
STUDENT_1893,70.23807
STUDENT_1581,71.610825
STUDENT_354,34.117584
STUDENT_1647,70.053246
STUDENT_1226,43.916443
STUDENT_1848,54.70242
STUDENT_1245,59.761505
STUDENT_799,51.302773
STUDENT_857,55.95878
STUDENT_1296,82.429115
STUDENT_1889,56.661217
STUDENT_128,33.944973
STUDENT_126,56.471222
STUDENT_152,35.490578
STUDENT_664,60.61752
STUDENT_347,62.109398
STUDENT_580,53.927986
STUDENT_824,73.748764
STUDENT_1215,58.736404
STUDENT_761,57.336094
STUDENT_1894,56.522186
STUDENT_849,80.73884
STUDENT_676,69.64838
STUDENT_1495,55.57613
STUDENT_1641,62.568253
STUDENT_1836,59.498882
STUDENT_487,64.220215
STUDENT_558,37.716335
STUDENT_502,32.783054
STUDENT_854,61.123974
STUDENT_614,70.961334
STUDENT_1305,72.40659
STUDENT_1875,54.78593
STUDENT_599,59.803066
STUDENT_1544,53.583393
STUDENT_272,34.450226
STUDENT_1885,63.752808
STUDENT_1771,62.93819
STUDENT_1661,62.24427
STUDENT_1064,53.53537
STUDENT_1340,54.645096
STUDENT_434,37.911636
STUDENT_843,38.80187
STUDENT_713,56.699547
STUDENT_1918,55.89267
STUDENT_1484,73.03112
STUDENT_1531,64.10492
STUDENT_62,76.407135
STUDENT_1825,71.03027
STUDENT_1908,62.0693
STUDENT_715,90.95276
STUDENT_839,41.631695
STUDENT_293,33.149067
STUDENT_255,31.021713
STUDENT_445,54.062206
STUDENT_1917,113.07946
STUDENT_1870,63.582348
STUDENT_94,37.971382
STUDENT_1927,62.863934
STUDENT_406,36.117817
STUDENT_87,35.891415
STUDENT_83,31.82288
STUDENT_506,51.63181
STUDENT_567,43.325947
STUDENT_1104,59.448734
STUDENT_1831,59.079533
STUDENT_586,48.970932
STUDENT_450,61.237507
STUDENT_1684,55.24045
STUDENT_221,35.56662
STUDENT_1627,63.464687
STUDENT_397,34.549595
STUDENT_92,37.12573
STUDENT_1655,56.453205
STUDENT_1928,56.176678
STUDENT_269,42.03006
STUDENT_1344,61.03863
STUDENT_1693,67.90172
STUDENT_777,77.55135
STUDENT_1493,56.077187
STUDENT_1088,38.55915
STUDENT_1834,53.066044
STUDENT_43,41.716614
STUDENT_1259,75.088806
STUDENT_190,31.03129
STUDENT_228,38.509445
STUDENT_641,51.197174
STUDENT_1100,62.16623
STUDENT_1752,73.6736
STUDENT_116,34.812515
STUDENT_362,33.57348
STUDENT_257,33.69197
STUDENT_1223,60.45189
STUDENT_1618,62.299236
STUDENT_1518,55.96519
STUDENT_185,35.648468
STUDENT_1487,91.76446
STUDENT_8,97.822975
STUDENT_25,74.28912
STUDENT_29,72.59188
