IDX_STUDENT,COD_PROGRAMA,JORNADA,DURACION,PERIODO_INGRESO,ESTADO_CIVIL,ESTRATO,CONDICION_EXCEPCION,TIPO_COLEGIO,RANGO_INGRESOS,RANGO_GASTOS,TIPO_VIVIENDA,PUNTAJE_ICFES,PCN,PLC,PMA,PSC,PIN
STUDENT_1093,2682.6965,1.0637581,5.078879,8.155986,0.7755414,1.7998569,1.9037704,1.5306176,3.1154165,2.2498107,1.3752695,258.67398,52.49308,53.572693,54.642105,51.913673,47.478695
STUDENT_628,2109.0864,0.09113237,4.669928,8.528266,1.199072,1.8939235,2.0420113,1.9132012,3.967681,2.1039062,1.0784346,286.76102,58.179993,57.19043,60.123657,58.42664,54.78216
STUDENT_1267,2106.9387,-0.2577751,4.708945,8.974511,1.7733556,2.0441043,2.5013962,2.5340662,4.5134726,2.0022063,0.75220454,298.27994,61.098732,59.13501,62.528435,60.492733,57.11971
STUDENT_288,2694.0056,2.2073433,4.195044,5.9517965,0.6203443,1.8019397,1.7761383,1.063485,2.4876394,0.5164352,0.19805016,177.13004,37.13729,40.299194,38.135696,33.380497,30.067911
STUDENT_437,2683.433,1.0474389,5.0939393,8.060466,0.8119794,1.7576816,1.9150162,1.525277,3.0635061,2.2122588,1.3324114,256.4417,52.105415,53.04944,54.26494,51.474545,47.027157
STUDENT_806,2108.3408,0.95149153,4.273268,7.009837,0.36831102,1.7172153,1.5754204,0.9213342,2.7157278,1.9460579,1.5421244,243.92055,48.77849,49.563538,50.99543,49.870068,45.632534
STUDENT_553,2680.6968,0.965316,4.974318,7.9116735,0.81661046,1.6614902,1.9318504,1.53872,3.0488577,2.2423873,1.1853529,246.55176,50.33895,51.285217,52.357483,49.267426,45.020008
STUDENT_1063,2681.3481,1.0583184,5.1056275,8.068286,0.8179685,1.8055103,1.8911362,1.5096444,3.0434256,2.2041335,1.349135,258.6899,52.558617,53.512573,54.69098,51.960537,47.50485
STUDENT_1740,2681.0615,0.96550673,4.6317353,7.25698,0.7984601,1.595618,1.8581772,1.6013955,3.0783377,1.8384796,0.8747431,215.8569,44.641945,46.10092,46.281647,42.34641,38.61662
STUDENT_1638,2678.1265,1.0023034,5.105269,8.106547,0.77001774,1.7120273,1.9792633,1.4165124,3.090972,2.31949,1.3365036,260.3511,52.858086,53.740112,55.126404,52.362698,47.87998
STUDENT_1252,2681.519,1.0599434,5.093344,8.071509,0.8051282,1.773421,1.9022903,1.5128182,3.0378408,2.2273726,1.3416353,256.86075,52.180504,53.166626,54.3161,51.538036,47.124928
STUDENT_1389,2681.6196,1.0005181,4.5264955,7.0891867,0.74691594,1.5885303,1.8779984,1.5613564,3.1385794,1.7317215,0.7800871,209.62534,43.484764,45.142365,45.074875,40.926685,37.303143
STUDENT_778,2683.0193,1.1523888,5.2249665,8.323737,0.7514707,1.9151676,1.8918953,1.4784554,3.1391897,2.2224975,1.5438601,271.47992,54.82743,55.861115,57.141968,54.776424,50.081036
STUDENT_206,2106.7112,0.941848,4.2242494,6.852275,0.47375688,1.6370647,1.5498123,0.98483366,2.6617117,1.8528343,1.4230019,235.3579,47.208954,47.992615,49.32499,47.986824,43.886845
STUDENT_851,2107.4983,1.0076516,4.265425,6.807109,0.44563493,1.6358936,1.5569687,0.897355,2.5871725,1.8480812,1.4322592,236.44739,47.371284,48.180603,49.513832,48.234108,44.07841
STUDENT_1370,2682.123,1.0036538,4.4481797,6.9835653,0.72630894,1.5464618,1.8997688,1.5413445,3.176879,1.6607453,0.7231432,206.15103,42.84214,44.593445,44.424545,40.128418,36.57387
STUDENT_1358,2682.037,0.96781844,4.959288,7.8757544,0.8318006,1.6699665,1.9451447,1.5485924,3.059844,2.2181792,1.148234,244.9761,50.04238,51.01114,52.04634,48.956215,44.69749
STUDENT_1665,2681.2915,0.9438316,4.947188,7.8589506,0.8445493,1.640456,1.9373245,1.5866936,3.0522757,2.2161117,1.1218096,241.96396,49.477257,50.43799,51.45027,48.27466,44.083378
STUDENT_84,2108.2004,0.7880165,4.4474626,7.474227,0.28043565,1.844054,1.560669,1.0582741,3.025115,2.080278,1.5077053,258.428,51.678223,52.229736,53.91571,52.928524,48.697697
STUDENT_1603,2681.8118,0.9228584,4.4927278,7.160987,0.72192204,1.5345447,1.9333267,1.5617684,3.2388906,1.8146225,0.77951205,210.33563,43.6343,45.235535,45.294647,41.111687,37.46229
STUDENT_1736,2681.666,1.0430214,4.563338,7.058284,0.7872907,1.6081607,1.8513603,1.5251778,3.0473928,1.6945435,0.7815062,212.0914,43.955498,45.551636,45.518356,41.507637,37.79633
STUDENT_1345,2681.9924,1.0777199,4.2821946,6.7034063,0.66033757,1.5620563,1.8927536,1.5225762,3.2674246,1.4251343,0.593825,196.19711,40.983604,43.093445,42.440414,37.83768,34.450253
