Measure,NO GRADUADO A TIEMPO,GRADADO A TIEMPO
Mean,0.003307237537477528,0.0034200203437058825
Lower,0.002898523364030899,0.0029885934546235293
Upper,0.004092157077247191,0.003916516482433824
