features,pvalue,effect_size
COD_PROGRAMA,0.4006197098623546,-0.052148050231328485
JORNADA,0.45331053849961167,-0.0465300727032386
DURACION,0.00047827374535165695,0.21658955717118308
PERIODO_INGRESO,0.08839098479790632,0.10568407138136153
ESTADO_CIVIL,0.1221888413188675,0.09586913417052215
ESTRATO,0.01510423814466641,0.15069398545935228
CONDICION_EXCEPCION,0.37772956058359075,-0.05472571050892267
TIPO_COLEGIO,0.001630117899316056,-0.1953734302709848
RANGO_INGRESOS,0.0002885684859608441,0.22481824190350297
RANGO_GASTOS,0.4336551832382486,0.04857898215465962
TIPO_VIVIENDA,0.012523980854911352,0.15485789821546597
PUNTAJE_ICFES,0.9244172900448235,-0.005915399867812293
PCN,0.8183126762120861,0.01427627230667548
PLC,0.17125960187571088,0.08486450760079313
PMA,0.43177955780228505,-0.04877726371447456
PSC,0.7202200776326317,0.02224058162590879
PIN,0.09453062508515006,-0.10370125578321217
