IDX_STUDENT,COD_PROGRAMA,JORNADA,DURACION,PERIODO_INGRESO,ESTADO_CIVIL,ESTRATO,CONDICION_EXCEPCION,TIPO_COLEGIO,RANGO_INGRESOS,RANGO_GASTOS,TIPO_VIVIENDA,PUNTAJE_ICFES,PCN,PLC,PMA,PSC,PIN
STUDENT_1093,2720.474,1.1903002,6.817551,8.208912,0.26567107,2.1978288,1.5157043,1.344361,0.6418841,2.1317542,3.0204284,264.75604,54.540894,54.05155,53.211853,52.4259,49.686256
STUDENT_628,2138.3838,0.39839962,6.735787,8.934345,0.19722016,2.87184,1.3565856,1.2160422,1.1301196,2.23086,2.8377197,292.39328,59.963356,57.813927,58.439354,58.177372,56.64177
STUDENT_1267,2138.5981,-0.087257124,6.64918,10.374134,0.10450775,3.7546525,1.3959991,1.6062628,1.5654528,2.8258498,3.7629058,307.09686,63.87841,60.67347,61.832855,60.879967,59.75276
STUDENT_288,2729.7527,2.1864703,8.6933565,11.21706,1.8147892,5.4303117,1.7533904,-2.5121605,3.4169695,-2.581701,-2.5507386,172.66252,40.705894,42.46743,34.296265,24.313858,23.20304
STUDENT_437,2719.9146,1.1880877,6.834828,8.132442,0.33880645,2.195189,1.4777404,1.2796332,0.67621636,2.1493437,2.9632537,264.01434,54.42533,53.889427,53.06949,52.248104,49.514366
STUDENT_806,2138.2603,0.8318713,5.916861,7.256565,0.5037082,2.0294785,1.0927993,0.957276,0.99001336,1.5630114,2.0381286,249.62956,50.895584,50.003937,50.087166,50.047302,47.759613
STUDENT_553,2718.5674,1.176903,6.882195,7.7959023,0.2676242,2.113646,1.4197723,1.36229,0.59754205,2.2124884,3.0766342,252.97453,52.41191,51.849937,50.897537,50.112732,47.30236
STUDENT_1063,2720.1165,1.1896975,6.8358045,8.106899,0.2858737,2.0797868,1.5181609,1.3545691,0.6440203,2.193106,2.9911392,263.09222,54.269196,53.688698,52.899796,52.163433,49.366554
STUDENT_1740,2718.8237,0.87586236,6.760781,7.03899,0.23254426,2.0141435,1.3058654,1.4741522,0.5714495,2.3775313,3.0398223,223.30513,46.73339,46.538338,45.072403,43.900227,41.062363
STUDENT_1638,2718.9136,1.3005068,6.8388066,8.298206,0.3445285,2.2099595,1.5395538,1.2874609,0.7448962,2.0856154,2.9505813,269.15387,55.34762,54.781044,54.13626,53.29185,50.606186
