IDX_STUDENT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
STUDENT_1093,-0.0755477,0.31886488,0.15579186,-0.2449536,-0.12194875,-0.24439003,0.29137856,0.10765739,-0.4857581,0.5642123,-0.3901689,0.699901,0.3341262,-0.2556851,0.60724896,-0.5134864,0.05922887,-0.41035536,-1.0219992,0.12249319
STUDENT_628,-1.4234033,-0.10929541,0.15720233,-0.40776545,0.73164046,0.66515255,-0.7287538,-0.036715046,-0.8402101,0.94256586,1.5169544,-0.089765795,1.2332051,-0.15128656,0.62526673,-1.1686178,0.3574951,-0.7871988,-0.5957454,-0.4301621
STUDENT_1267,-1.2090379,-0.8334801,0.42353407,1.232988,-1.0424505,-0.15580076,0.04474292,0.63793194,-0.5018933,0.43696237,0.033236284,0.008990637,1.6895943,-0.34118867,0.5933957,-0.091658555,-0.25496638,-1.2972156,-0.63103426,-0.48128843
STUDENT_288,-0.36679137,0.4948513,0.6179938,2.396892,-0.22514096,-0.22938366,-2.8481436,-0.6211058,-0.92938185,2.1589122,-0.93080616,-1.8490922,-2.567554,0.0017572194,-0.83046496,0.45973626,-0.12962335,1.7010026,1.4692638,0.2290924
STUDENT_437,-0.68331,0.052035015,0.14448546,0.37938774,-1.2343284,0.0021195225,0.12099535,0.0349776,-0.4856834,1.6544055,0.69035584,-0.13087665,-0.38733342,0.40579683,0.1594615,-0.8527292,-0.968966,-0.39864558,0.31078926,0.64948314
STUDENT_806,-0.15114914,0.37224182,0.64657205,-0.67689985,-0.69370043,-0.78961015,0.57064843,-0.3178744,0.35005233,0.59234804,0.53202814,-0.24370393,0.5925316,-0.28856152,-0.31249106,0.012560479,0.20318492,-0.86637306,0.34977466,-0.7629772
STUDENT_553,1.5443369,-0.6237363,0.8888925,2.9019713,-0.21651813,-2.6673062,0.33290306,0.7271927,0.98971534,0.17054687,-1.6305008,0.68562645,0.7309207,-0.55342203,-0.8055111,0.16032091,0.4822141,0.36886168,0.9814228,0.24059224
STUDENT_1063,0.6670474,-0.7991693,0.090016745,-0.12681729,0.39792845,-0.39772287,-0.33067778,-0.77385056,-0.17559426,0.0069268774,0.3588655,1.0492313,-0.25115207,0.89379776,0.25932252,-0.60294676,-0.42238995,0.24474275,-0.5655376,0.18392897
STUDENT_1740,0.3957053,-0.05413388,0.45855665,-0.64333373,-0.88686407,-0.6160598,0.23415181,-1.009752,0.1267437,0.3405141,-0.25643545,0.5398185,-1.4792904,0.30556804,-0.27623987,0.16201985,-0.34984955,-0.011731863,0.18504569,-0.24358647
STUDENT_1638,-0.16745228,-0.9644156,0.09128597,0.5505264,-0.53374124,1.1890948,-0.1698207,0.20267333,0.28648433,-1.127387,0.92429644,0.26649612,-0.6899792,1.2001137,-0.21796687,0.28284803,-0.26823154,-0.9489145,0.7161404,-0.33033863
STUDENT_1252,-0.602006,0.10701229,0.4343164,0.051987953,-0.1509271,0.18328354,-0.18751052,-0.12117903,-0.28333905,0.04637979,-0.4341499,0.5024805,0.050926488,-0.36313534,0.7220165,-0.54659134,0.45512453,-0.5330726,-0.2317076,0.139019
STUDENT_1389,0.094924405,2.0109327,1.2277855,-0.5886604,-0.009967018,0.79476434,-1.2938259,-0.57707524,1.8126599,-0.070767,-0.22090845,1.6876805,-0.344659,-0.98945326,-0.5332294,1.0179048,-0.55782694,0.010313243,0.60895014,0.26229718
STUDENT_778,-1.0606493,0.09993407,-0.4596393,-0.16000344,-0.56215453,-0.10727362,0.86950785,0.45130682,-0.3135812,0.71122515,-0.53580016,0.9518602,0.2085515,-0.78201014,0.90304965,-0.8341307,-0.13977689,-0.2736487,-1.0342486,-0.28871244
STUDENT_206,0.6334611,-0.36641994,0.046008617,-0.87690216,1.7777951,-0.49730715,0.56637853,0.057433292,1.0971239,-0.35262385,2.1031082,-0.6599525,0.047454488,0.09214263,-0.9955699,0.26070473,0.32703027,-0.0943947,0.31287727,-0.41814783
