IDX_STUDENT,Reconstruction error
STUDENT_1093,14.700124
STUDENT_628,10.366195
STUDENT_1267,11.785848
STUDENT_288,161.48792
STUDENT_437,9.821674
STUDENT_806,8.831306
STUDENT_553,14.231545
STUDENT_1063,17.664448
STUDENT_1740,7.859453
STUDENT_1638,29.731762
STUDENT_1252,7.7888794
STUDENT_1389,7.1142097
STUDENT_778,18.741402
STUDENT_206,11.609472
STUDENT_851,10.987185
STUDENT_1370,9.945675
STUDENT_1358,11.261058
STUDENT_1665,5.453299
STUDENT_84,9.431008
STUDENT_1603,23.177708
STUDENT_1736,35.89066
STUDENT_1345,8.6229925
STUDENT_421,12.704742
STUDENT_1686,8.128504
STUDENT_630,7.300743
STUDENT_1266,24.057734
STUDENT_988,25.21405
STUDENT_485,52.727596
STUDENT_559,18.757332
STUDENT_918,24.254091
STUDENT_707,11.238866
STUDENT_132,6.897894
STUDENT_373,10.883566
STUDENT_1634,27.995785
STUDENT_417,7.7787056
STUDENT_1326,6.680563
STUDENT_969,8.825478
STUDENT_741,16.789034
STUDENT_41,22.637558
STUDENT_443,19.832844
STUDENT_439,8.021385
STUDENT_1734,10.519891
STUDENT_518,11.038608
STUDENT_78,16.776972
STUDENT_436,16.52253
STUDENT_1163,11.354362
STUDENT_1418,11.389198
STUDENT_1533,17.678513
STUDENT_1169,19.395084
STUDENT_1580,21.33545
STUDENT_1813,10.883631
STUDENT_577,9.543811
STUDENT_702,17.931242
STUDENT_1722,50.082844
STUDENT_316,9.55823
STUDENT_1452,11.004088
STUDENT_579,35.23329
STUDENT_374,12.064474
STUDENT_1354,9.513505
STUDENT_404,22.602942
STUDENT_891,26.518509
STUDENT_1311,4.974697
STUDENT_1280,13.228417
STUDENT_33,11.415122
STUDENT_1168,15.513261
STUDENT_833,7.113505
STUDENT_1372,6.8919787
STUDENT_1621,19.45533
STUDENT_1887,12.492248
STUDENT_1393,7.194379
STUDENT_230,17.007496
STUDENT_608,14.27364
STUDENT_661,17.400589
STUDENT_265,9.970336
STUDENT_438,19.432287
STUDENT_1941,17.125677
STUDENT_650,17.80118
STUDENT_461,11.038038
STUDENT_639,17.433226
STUDENT_889,9.595592
STUDENT_355,21.565405
STUDENT_1893,28.384209
STUDENT_1581,23.660877
STUDENT_354,7.323639
STUDENT_1647,18.278305
STUDENT_1226,16.503794
STUDENT_1848,11.181121
STUDENT_1245,10.702083
STUDENT_799,6.698975
STUDENT_857,8.547411
STUDENT_1296,29.487171
STUDENT_1889,14.672072
STUDENT_128,7.64504
STUDENT_126,24.245134
STUDENT_152,5.985867
STUDENT_664,14.457489
